CorVel Price to Free Cash Flow Ratio Historical Data,CorVel Price to Free Cash Flow Ratio Historical Data,CorVel Price to Free Cash Flow Ratio Historical Data,CorVel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,107.32,,67.76
2024-12-31,111.26,$1.58,70.25
2024-09-30,326.89,$1.40,233.51
2024-06-30,254.27,$1.37,185.53
2024-03-31,262.96,$1.35,195.51
2023-12-31,247.21,$1.35,183.44
2023-09-30,196.65,$1.38,142.87
2023-06-30,193.5,$1.26,153.49
2023-03-31,190.28,$1.06,179.42
2022-12-31,145.33,$1.06,136.78
2022-09-30,138.43,$0.75,183.47
2022-06-30,147.27,$0.95,155.56
2022-03-31,168.44,$0.69,244.9
2021-12-31,208.0,$0.89,233.31
2021-09-30,186.22,$1.25,149.08
2021-06-30,134.3,$1.34,99.89
2021-03-31,102.59,$1.42,72.48
2020-12-31,106.0,$1.28,82.57
2020-09-30,85.43,$0.95,89.66
2020-06-30,70.89,$0.76,93.23
2020-03-31,54.51,$0.87,62.76
2019-12-31,87.36,$0.79,110.09
2019-09-30,75.7,$0.89,85.18
2019-06-30,87.01,$1.09,79.8
2019-03-31,65.24,$1.11,58.71
2018-12-31,61.72,$1.03,59.93
2018-09-30,60.25,$1.00,60.13
2018-06-30,54.0,$0.67,80.91
2018-03-31,50.55,$0.60,83.79
2017-12-31,52.9,$0.61,86.31
2017-09-30,54.4,$0.53,102.47
2017-06-30,47.45,$0.59,80.18
2017-03-31,43.5,$0.36,121.54
2016-12-31,36.6,$0.49,75.12
2016-09-30,38.4,$0.46,82.67
2016-06-30,43.18,$0.45,95.3
2016-03-31,39.42,$0.58,68.46
2015-12-31,43.92,$0.47,94.05
2015-09-30,32.3,$0.53,61.4
2015-06-30,32.02,$0.43,73.92
2015-03-31,34.41,$0.34,100.56
2014-12-31,37.22,$0.35,107.7
2014-09-30,34.05,$0.36,95.83
2014-06-30,45.18,$0.47,95.38
2014-03-31,49.76,$0.57,87.51
2013-12-31,46.7,$0.60,78.08
2013-09-30,36.97,$0.64,57.72
2013-06-30,29.27,$0.62,47.16
2013-03-31,24.75,$0.59,41.75
2012-12-31,22.42,$0.53,42.55
2012-09-30,22.38,$0.38,59.63
2012-06-30,24.5,$0.21,117.11
2012-03-31,19.95,$0.18,111.67
2011-12-31,25.86,$0.19,136.65
2011-09-30,21.25,$0.22,94.95
2011-06-30,23.45,$0.40,57.97
2011-03-31,26.59,$0.37,72.26
2010-12-31,24.18,$0.45,53.2
2010-09-30,21.23,$0.38,55.19
2010-06-30,16.9,$0.35,48.11
2010-03-31,17.88,$0.35,51.5
2009-12-31,16.77,$0.47,35.58
