ScPharmaceuticals Price to Free Cash Flow Ratio Historical Data,ScPharmaceuticals Price to Free Cash Flow Ratio Historical Data,ScPharmaceuticals Price to Free Cash Flow Ratio Historical Data,ScPharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.01,,0.0
2024-12-31,3.54,$-1.58,0.0
2024-09-30,4.56,$-1.59,0.0
2024-06-30,4.35,$-1.72,0.0
2024-03-31,5.02,$-1.56,0.0
2023-12-31,6.27,$-1.54,0.0
2023-09-30,7.12,$-1.53,0.0
2023-06-30,10.19,$-1.48,0.0
2023-03-31,9.07,$-1.39,0.0
2022-12-31,7.17,$-1.22,0.0
2022-09-30,6.52,$-1.09,0.0
2022-06-30,4.82,$-0.98,0.0
2022-03-31,5.68,$-0.95,0.0
2021-12-31,5.02,$-0.99,0.0
2021-09-30,6.65,$-1.18,0.0
2021-06-30,6.11,$-1.08,0.0
2021-03-31,6.65,$-1.06,0.0
2020-12-31,5.29,$-1.13,0.0
2020-09-30,7.45,$-1.47,0.0
2020-06-30,7.36,$-1.68,0.0
2020-03-31,7.4,$-1.69,0.0
2019-12-31,5.66,$-1.64,0.0
2019-09-30,5.87,$-1.15,0.0
2019-06-30,3.19,$-1.14,0.0
2019-03-31,3.0,$-1.39,0.0
2018-12-31,3.76,$-1.55,0.0
2018-09-30,5.87,$-3.91,0.0
