Iterum Therapeutics Price to Free Cash Flow Ratio Historical Data,Iterum Therapeutics Price to Free Cash Flow Ratio Historical Data,Iterum Therapeutics Price to Free Cash Flow Ratio Historical Data,Iterum Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.45,,0.0
2024-12-31,1.77,$-1.36,0.0
2024-09-30,1.09,$-2.13,0.0
2024-06-30,1.15,$-2.90,0.0
2024-03-31,1.54,$-3.13,0.0
2023-12-31,1.97,$-3.04,0.0
2023-09-30,0.8,$-2.38,0.0
2023-06-30,1.07,$-2.05,0.0
2023-03-31,1.0,$-1.99,0.0
2022-12-31,0.84,$-1.51,0.0
2022-09-30,1.62,$-1.63,0.0
2022-06-30,3.0,$-1.56,0.0
2022-03-31,5.33,$-1.60,0.0
2021-12-31,5.88,$-1.46,0.0
2021-09-30,8.38,$-1.59,0.0
2021-06-30,34.65,$4.69,7.38
2021-03-31,21.15,$-6.58,0.0
2020-12-31,14.84,$-34.06,0.0
2020-09-30,15.75,$-57.49,0.0
2020-06-30,17.85,$-89.06,0.0
2020-03-31,40.65,$-96.44,0.0
2019-12-31,67.5,$-84.62,0.0
2019-09-30,86.55,$-135.33,0.0
2019-06-30,103.2,$-113.33,0.0
2019-03-31,118.83,$-146.23,0.0
