Zoomcar Holdings Price to Free Cash Flow Ratio Historical Data,Zoomcar Holdings Price to Free Cash Flow Ratio Historical Data,Zoomcar Holdings Price to Free Cash Flow Ratio Historical Data,Zoomcar Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.24,,0.01
2024-12-31,1.81,$37.97,0.05
2024-09-30,0.14,"$2,116.74",0.0
2024-06-30,0.15,$122.03,0.0
2024-03-31,0.61,$-13.36,0.0
2023-12-31,3.69,$-54.19,0.0
2023-09-30,11.29,"$-2,132.87",0.0
2023-06-30,10.9,$-136.02,0.0
2023-03-31,10.65,$-0.59,0.0
2022-12-31,10.3,$-0.21,0.0
