OP Bancorp Price to Free Cash Flow Ratio Historical Data,OP Bancorp Price to Free Cash Flow Ratio Historical Data,OP Bancorp Price to Free Cash Flow Ratio Historical Data,OP Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.47,,7.79
2024-09-30,12.38,$1.60,7.74
2024-06-30,9.42,$1.72,5.48
2024-03-31,9.69,$1.21,8.0
2023-12-31,10.5,$4.33,2.42
2023-09-30,8.65,$4.63,1.87
2023-06-30,7.88,$6.64,1.19
2023-03-31,8.2,$7.52,1.09
2022-12-31,10.17,$5.40,1.88
2022-09-30,10.03,$6.75,1.48
2022-06-30,9.36,$2.20,4.25
2022-03-31,12.26,$-1.46,0.0
2021-12-31,11.22,$-1.94,0.0
2021-09-30,8.98,$-2.08,0.0
2021-06-30,8.71,$-2.13,0.0
2021-03-31,9.05,$-0.19,0.0
2020-12-31,6.58,$-0.36,0.0
2020-09-30,4.83,$-1.59,0.0
2020-06-30,5.77,$0.50,11.53
2020-03-31,6.17,$1.10,5.62
2019-12-31,8.52,$1.08,7.87
2019-09-30,7.99,$1.42,5.61
2019-06-30,8.81,$1.68,5.24
2019-03-31,7.08,$2.15,3.3
2018-12-31,7.14,$1.89,3.77
