Centerspace Price to Free Cash Flow Ratio Historical Data,Centerspace Price to Free Cash Flow Ratio Historical Data,Centerspace Price to Free Cash Flow Ratio Historical Data,Centerspace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,64.18,,16.92
2024-12-31,66.15,$3.79,17.44
2024-09-30,70.47,$1.11,63.29
2024-06-30,67.63,$3.53,19.18
2024-03-31,57.14,$5.48,10.43
2023-12-31,57.43,$12.37,4.64
2023-09-30,59.47,$14.46,4.11
2023-06-30,60.55,$5.58,10.86
2023-03-31,53.27,$3.82,13.96
2022-12-31,56.44,$-4.55,0.0
2022-09-30,63.97,$-8.00,0.0
2022-06-30,77.49,$-11.13,0.0
2022-03-31,92.39,$-7.11,0.0
2021-12-31,103.66,$-11.65,0.0
2021-09-30,87.76,$-8.73,0.0
2021-06-30,73.27,$-6.64,0.0
2021-03-31,63.15,$-10.56,0.0
2020-12-31,64.94,$-7.49,0.0
2020-09-30,59.92,$1.63,36.78
2020-06-30,64.81,$5.96,10.88
2020-03-31,50.57,$6.71,7.54
2019-12-31,66.65,$6.79,9.82
2019-09-30,68.65,$-7.02,0.0
2019-06-30,53.94,$1.15,47.01
2019-03-31,55.08,$-5.84,0.0
2018-12-31,44.58,$5.51,8.09
2018-10-31,48.63,$5.25,9.26
2018-09-30,53.56,$5.97,8.98
2018-07-31,49.08,$4.38,11.22
2018-06-30,49.53,$-24.52,0.0
2018-04-30,47.74,$-24.35,0.0
2018-03-31,46.48,$-35.01,0.0
2018-01-31,50.78,$-29.73,0.0
2017-10-31,52.4,$-9.06,0.0
2017-07-31,55.05,$-3.68,0.0
2017-04-30,51.73,$0.97,53.23
2017-01-31,55.7,$13.45,4.14
2016-10-31,52.5,$0.97,54.02
2016-07-31,57.26,$-6.59,0.0
2016-04-30,51.03,$-9.10,0.0
2016-01-31,55.26,$-13.10,0.0
2015-10-31,67.58,$-9.10,0.0
2015-07-31,58.87,$-3.81,0.0
2015-04-30,58.55,$-4.62,0.0
2015-01-31,66.15,$-9.80,0.0
2014-10-31,67.36,$-4.62,0.0
2014-07-31,68.32,$-6.70,0.0
2014-04-30,69.92,$-5.92,0.0
2014-01-31,68.64,$-3.42,0.0
2013-10-31,67.07,$-5.92,0.0
2013-07-31,66.16,$-1.99,0.0
2013-04-30,73.37,$-4.10,0.0
2013-01-31,69.64,$-2.73,0.0
2012-10-31,61.7,$-4.10,0.0
2012-07-31,58.87,$-8.69,0.0
2012-04-30,51.18,$-5.19,0.0
2012-01-31,51.73,$-9.00,0.0
2011-10-31,50.77,$-5.19,0.0
2011-07-31,54.75,$-0.17,0.0
2011-04-30,62.21,$0.02,2716.74
2011-01-31,58.0,$1.60,36.19
2010-10-31,56.03,$0.02,2446.6
2010-07-31,52.84,$0.09,618.76
2010-04-30,53.43,$0.54,98.16
2010-01-31,52.45,$-2.05,0.0
2009-10-31,49.36,$0.54,90.68
