Horizon Technology Finance Price to Free Cash Flow Ratio Historical Data,Horizon Technology Finance Price to Free Cash Flow Ratio Historical Data,Horizon Technology Finance Price to Free Cash Flow Ratio Historical Data,Horizon Technology Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.31,,85.41
2024-12-31,8.99,$0.11,82.48
2024-09-30,10.28,$1.16,8.86
2024-06-30,11.29,$1.23,9.16
2024-03-31,10.37,$-0.50,0.0
2023-12-31,11.64,$-0.17,0.0
2023-09-30,10.18,$-4.22,0.0
2023-06-30,10.08,$-5.16,0.0
2023-03-31,9.16,$-6.98,0.0
2022-12-31,9.16,$-9.96,0.0
2022-09-30,7.68,$-6.41,0.0
2022-06-30,8.64,$-6.40,0.0
2022-03-31,10.15,$-5.24,0.0
2021-12-31,11.4,$-3.79,0.0
2021-09-30,11.41,$-5.77,0.0
2021-06-30,11.9,$-1.64,0.0
2021-03-31,9.73,$-1.52,0.0
2020-12-31,8.77,$-1.44,0.0
2020-09-30,7.95,$-1.61,0.0
2020-06-30,6.88,$-4.13,0.0
2020-03-31,4.98,$-3.51,0.0
2019-12-31,7.67,$-3.81,0.0
2019-09-30,6.85,$-1.89,0.0
2019-06-30,6.66,$-2.62,0.0
2019-03-31,6.49,$-3.47,0.0
2018-12-31,6.04,$-1.05,0.0
2018-09-30,6.02,$-4.31,0.0
2018-06-30,5.18,$-3.05,0.0
2018-03-31,5.19,$-1.89,0.0
2017-12-31,5.45,$-1.29,0.0
2017-09-30,5.25,$3.69,1.42
2017-06-30,5.21,$4.87,1.07
2017-03-31,4.99,$5.72,0.87
2016-12-31,4.59,$4.53,1.01
2016-09-30,5.75,$3.28,1.76
2016-06-30,5.05,$1.23,4.11
2016-03-31,4.66,$-2.81,0.0
2015-12-31,4.56,$-2.80,0.0
2015-09-30,3.41,$-2.61,0.0
2015-06-30,4.63,$1.12,4.12
2015-03-31,4.93,$4.91,1.0
2014-12-31,4.87,$3.81,1.28
2014-09-30,4.57,$7.43,0.61
2014-06-30,4.84,$2.43,1.99
2014-03-31,4.04,$2.06,1.96
2013-12-31,4.48,$0.68,6.6
2013-09-30,4.09,$-4.68,0.0
2013-06-30,4.12,$-4.75,0.0
2013-03-31,4.27,$-6.59,0.0
2012-12-31,4.26,$-4.25,0.0
2012-09-30,4.44,$-0.42,0.0
2012-06-30,4.41,$0.79,5.56
2012-03-31,4.32,$1.76,2.45
2011-12-31,4.14,$-0.53,0.0
2011-09-30,3.61,$-3.97,0.0
