Vera Bradley Price to Free Cash Flow Ratio Historical Data,Vera Bradley Price to Free Cash Flow Ratio Historical Data,Vera Bradley Price to Free Cash Flow Ratio Historical Data,Vera Bradley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.44,,0.0
2024-10-31,5.01,$-0.67,0.0
2024-07-31,6.88,$0.39,17.59
2024-04-30,6.59,$1.22,5.4
2024-01-31,7.68,$1.41,5.44
2023-10-31,7.32,$1.30,5.62
2023-07-31,6.74,$0.77,8.72
2023-04-30,5.24,$-0.61,0.0
2023-01-31,5.95,$-0.69,0.0
2022-10-31,3.25,$-0.84,0.0
2022-07-31,4.19,$-0.42,0.0
2022-04-30,6.15,$0.92,6.69
2022-01-31,8.19,$1.00,8.19
2021-10-31,9.81,$0.99,9.94
2021-07-31,11.01,$0.98,11.2
2021-04-30,11.1,$0.94,11.83
2021-01-31,8.45,$0.44,19.16
2020-10-31,6.34,$0.71,8.88
2020-07-31,4.39,$0.29,15.25
2020-04-30,5.51,$-0.34,0.0
2020-01-31,9.58,$0.21,44.96
2019-10-31,10.76,$0.25,42.65
2019-07-31,11.75,$0.49,23.77
2019-04-30,12.28,$0.90,13.62
2019-01-31,8.95,$1.00,8.96
2018-10-31,13.19,$1.04,12.72
2018-07-31,13.29,$1.44,9.24
2018-04-30,11.38,$1.07,10.66
2018-01-31,9.29,$0.86,10.85
2017-10-31,7.2,$0.91,7.87
2017-07-31,10.08,$0.81,12.46
2017-04-30,9.15,$1.09,8.41
2017-01-31,11.46,$1.20,9.54
2016-10-31,13.37,$1.28,10.43
2016-07-31,14.56,$0.96,15.11
2016-04-30,17.54,$0.39,44.97
2016-01-31,14.78,$0.44,33.89
2015-10-31,12.51,$0.21,59.35
2015-07-31,10.86,$0.72,15.06
2015-04-30,14.24,$0.87,16.36
2015-01-31,19.07,$1.64,11.62
2014-10-31,22.8,$1.95,11.67
2014-07-31,19.83,$1.73,11.44
2014-04-30,28.3,$1.94,14.6
2014-01-31,24.02,$1.60,15.02
2013-10-31,22.15,$1.11,20.03
2013-07-31,24.24,$0.69,35.31
2013-04-30,22.82,$0.13,169.16
2013-01-31,25.29,$0.38,65.77
2012-10-31,29.83,$0.67,44.36
2012-07-31,22.79,$1.33,17.19
2012-04-30,25.98,$1.39,18.63
2012-01-31,35.81,$0.81,44.42
2011-10-31,45.3,$0.37,123.03
2011-07-31,36.27,$0.83,43.88
