Primerica Price to Free Cash Flow Ratio Historical Data,Primerica Price to Free Cash Flow Ratio Historical Data,Primerica Price to Free Cash Flow Ratio Historical Data,Primerica Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,288.89,,11.86
2024-12-31,271.42,$24.35,11.15
2024-09-30,264.35,$22.72,11.63
2024-06-30,235.05,$20.78,11.31
2024-03-31,250.5,$19.51,12.84
2023-12-31,203.14,$18.28,11.11
2023-09-30,190.94,$17.38,10.99
2023-06-30,194.01,$17.90,10.84
2023-03-31,168.38,$18.52,9.09
2022-12-31,138.11,$19.21,7.19
2022-09-30,119.77,$19.57,6.12
2022-06-30,115.64,$18.93,6.11
2022-03-31,131.59,$18.44,7.14
2021-12-31,146.82,$15.95,9.21
2021-09-30,146.72,$16.14,9.09
2021-06-30,145.78,$14.57,10.01
2021-03-31,140.31,$15.14,9.27
2020-12-31,126.71,$15.32,8.27
2020-09-30,106.71,$13.32,8.01
2020-06-30,109.64,$14.28,7.68
2020-03-31,82.89,$12.43,6.67
2019-12-31,121.95,$10.87,11.22
2019-09-30,118.53,$11.43,10.37
2019-06-30,111.43,$11.05,10.09
2019-03-31,113.16,$10.97,10.32
2018-12-31,90.26,$10.56,8.55
2018-09-30,111.12,$10.27,10.82
2018-06-30,91.62,$9.44,9.7
2018-03-31,88.63,$8.28,10.71
2017-12-31,92.94,$8.42,11.04
2017-09-30,74.48,$7.06,10.54
2017-06-30,69.01,$6.40,10.78
2017-03-31,74.71,$6.48,11.52
2016-12-31,62.7,$5.92,10.6
2016-09-30,47.96,$5.65,8.49
2016-06-30,51.6,$5.51,9.37
2016-03-31,40.01,$4.44,9.01
2015-12-31,42.27,$5.04,8.38
2015-09-30,40.21,$4.61,8.71
2015-06-30,40.62,$4.53,8.97
2015-03-31,45.09,$4.72,9.54
2014-12-31,47.93,$4.21,11.38
2014-09-30,42.49,$3.87,10.97
2014-06-30,42.06,$3.47,12.13
2014-03-31,41.3,$2.60,15.9
2013-12-31,37.51,$2.89,12.96
2013-09-30,35.18,$1.54,22.9
2013-06-30,32.55,$2.26,14.4
2013-03-31,28.41,$2.85,9.98
2012-12-31,25.92,$1.82,14.27
2012-09-30,24.66,$2.56,9.65
2012-06-30,22.96,$1.42,16.22
2012-03-31,21.61,$1.02,21.13
2011-12-31,19.9,$1.14,17.41
2011-09-30,18.43,$0.54,34.4
2011-06-30,18.75,$-0.28,0.0
2011-03-31,21.75,$0.60,36.0
