Enersys Price to Free Cash Flow Ratio Historical Data,Enersys Price to Free Cash Flow Ratio Historical Data,Enersys Price to Free Cash Flow Ratio Historical Data,Enersys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,97.19,,28.09
2024-12-31,92.43,$3.46,26.71
2024-09-30,101.79,$4.82,21.11
2024-06-30,103.01,$6.97,14.78
2024-03-31,93.79,$9.01,10.41
2023-12-31,99.99,$9.15,10.93
2023-09-30,93.55,$10.95,8.55
2023-06-30,106.99,$8.34,12.82
2023-03-31,85.51,$4.64,18.43
2022-12-31,72.52,$1.72,42.29
2022-09-30,57.0,$-3.58,0.0
2022-06-30,57.61,$-4.04,0.0
2022-03-31,72.67,$-3.23,0.0
2021-12-31,76.87,$-1.41,0.0
2021-09-30,72.2,$0.24,296.28
2021-06-30,94.59,$3.09,30.61
2021-03-31,87.72,$6.68,13.14
2020-12-31,80.1,$5.89,13.59
2020-09-30,64.59,$6.20,10.41
2020-06-30,61.8,$5.39,11.47
2020-03-31,47.4,$3.59,13.2
2019-12-31,71.34,$3.08,23.14
2019-09-30,62.72,$3.36,18.68
2019-06-30,64.98,$3.06,21.25
2019-03-31,61.64,$2.99,20.62
2018-12-31,73.22,$3.87,18.93
2018-09-30,82.02,$3.98,20.58
2018-06-30,70.12,$3.33,21.07
2018-03-31,65.03,$3.29,19.79
2017-12-31,65.11,$3.56,18.31
2017-09-30,64.51,$2.78,23.19
2017-06-30,67.4,$3.29,20.49
2017-03-31,73.27,$4.47,16.4
2016-12-31,72.32,$4.36,16.57
2016-09-30,63.93,$4.60,13.89
2016-06-30,54.81,$5.59,9.8
2016-03-31,51.22,$5.56,9.21
2015-12-31,51.24,$5.13,9.99
2015-09-30,48.94,$5.37,9.11
2015-06-30,63.99,$3.56,17.97
2015-03-31,58.34,$2.76,21.1
2014-12-31,55.9,$3.46,16.15
2014-09-30,52.95,$1.78,29.73
2014-06-30,61.95,$2.76,22.45
2014-03-31,62.24,$2.67,23.28
2013-12-31,62.85,$2.91,21.63
2013-09-30,54.27,$4.19,12.95
2013-06-30,43.8,$4.18,10.47
2013-03-31,40.61,$3.89,10.43
2012-12-31,33.52,$3.40,9.86
2012-09-30,31.44,$4.16,7.55
2012-06-30,31.24,$3.22,9.71
2012-03-31,30.87,$3.16,9.78
2011-12-31,23.14,$2.03,11.4
2011-09-30,17.83,$0.75,23.88
2011-06-30,30.66,$0.92,33.21
2011-03-31,35.41,$0.34,104.24
2010-12-31,28.61,$0.33,87.64
2010-09-30,22.24,$0.27,83.41
2010-06-30,19.04,$0.30,62.54
2010-03-31,21.97,$1.90,11.59
2009-12-31,19.48,$5.14,3.79
