Adverum Biotechnologies Price to Free Cash Flow Ratio Historical Data,Adverum Biotechnologies Price to Free Cash Flow Ratio Historical Data,Adverum Biotechnologies Price to Free Cash Flow Ratio Historical Data,Adverum Biotechnologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.6,,0.0
2024-09-30,7.02,$-5.24,0.0
2024-06-30,6.86,$-6.62,0.0
2024-03-31,14.14,$-8.27,0.0
2023-12-31,7.53,$-9.10,0.0
2023-09-30,15.0,$-8.85,0.0
2023-06-30,15.9,$-9.69,0.0
2023-03-31,7.17,$-10.95,0.0
2022-12-31,5.8,$-12.08,0.0
2022-09-30,9.5,$-13.26,0.0
2022-06-30,12.0,$-13.22,0.0
2022-03-31,13.1,$-13.49,0.0
2021-12-31,17.6,$-12.54,0.0
2021-09-30,21.7,$-12.57,0.0
2021-06-30,35.0,$-12.24,0.0
2021-03-31,98.6,$-10.71,0.0
2020-12-31,108.4,$-10.70,0.0
2020-09-30,103.0,$-11.26,0.0
2020-06-30,208.8,$-10.76,0.0
2020-03-31,97.7,$-10.65,0.0
2019-12-31,115.2,$-10.67,0.0
2019-09-30,54.5,$-9.23,0.0
2019-06-30,118.9,$-9.59,0.0
2019-03-31,52.4,$-9.07,0.0
2018-12-31,31.5,$-8.92,0.0
2018-09-30,60.5,$-9.47,0.0
2018-06-30,53.0,$-9.03,0.0
2018-03-31,58.0,$-10.07,0.0
2017-12-31,35.0,$-10.64,0.0
2017-09-30,36.5,$-11.51,0.0
2017-06-30,25.0,$-10.69,0.0
2017-03-31,27.0,$-14.12,0.0
