Murphy USA Price to Free Cash Flow Ratio Historical Data,Murphy USA Price to Free Cash Flow Ratio Historical Data,Murphy USA Price to Free Cash Flow Ratio Historical Data,Murphy USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,438.82,,23.36
2024-12-31,501.75,$18.78,26.71
2024-09-30,492.38,$20.40,24.14
2024-06-30,468.58,$22.35,20.97
2024-03-31,418.0,$20.03,20.87
2023-12-31,355.18,$20.64,17.21
2023-09-30,340.04,$18.85,18.04
2023-06-30,309.19,$21.60,14.31
2023-03-31,256.12,$21.66,11.83
2022-12-31,277.07,$29.15,9.5
2022-09-30,272.17,$26.68,10.2
2022-06-30,230.3,$25.88,8.9
2022-03-31,197.52,$22.07,8.95
2021-12-31,196.49,$17.52,11.22
2021-09-30,164.68,$15.57,10.58
2021-06-30,131.1,$9.17,14.3
2021-03-31,141.85,$15.77,9.0
2020-12-31,128.16,$11.55,11.09
2020-09-30,125.38,$10.70,11.72
2020-06-30,110.05,$11.88,9.26
2020-03-31,82.46,$5.11,16.13
2019-12-31,114.36,$3.48,32.82
2019-09-30,83.38,$6.65,12.54
2019-06-30,82.13,$5.17,15.88
2019-03-31,83.69,$4.75,17.61
2018-12-31,74.91,$5.93,12.63
2018-09-30,83.53,$4.14,20.19
2018-06-30,72.61,$5.24,13.87
2018-03-31,71.16,$5.50,12.94
2017-12-31,78.55,$0.72,108.4
2017-09-30,67.44,$0.64,105.84
2017-06-30,72.44,$-1.96,0.0
2017-03-31,71.76,$-1.77,0.0
2016-12-31,60.08,$4.05,14.83
2016-09-30,69.75,$2.75,25.33
2016-06-30,72.49,$3.97,18.27
2016-03-31,60.06,$3.00,20.02
2015-12-31,59.37,$0.26,229.23
2015-09-30,53.71,$0.76,70.86
2015-06-30,54.56,$1.62,33.62
2015-03-31,70.74,$1.85,38.29
2014-12-31,67.31,$3.68,18.31
2014-09-30,51.86,$1.71,30.42
2014-06-30,47.79,$6.09,7.85
