Triller Group Price to Free Cash Flow Ratio Historical Data,Triller Group Price to Free Cash Flow Ratio Historical Data,Triller Group Price to Free Cash Flow Ratio Historical Data,Triller Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.83,,0.0
2024-09-30,19.58,$-0.76,0.0
2024-06-30,25.28,$-0.90,0.0
2024-03-31,3.59,$-1.00,0.0
2023-12-31,4.01,$-1.15,0.0
2023-09-30,4.96,$-1.66,0.0
2023-06-30,11.9,$-1.24,0.0
2023-03-31,13.39,$-1.11,0.0
2022-12-31,12.72,$-0.75,0.0
2022-09-30,94.52,$-0.48,0.0
2022-06-30,93.86,$-0.78,0.0
2022-03-31,92.21,$-0.79,0.0
2021-12-31,91.05,$-1.01,0.0
2021-09-30,89.89,$-0.73,0.0
2021-06-30,88.65,$-0.50,0.0
2021-03-31,87.33,$-0.52,0.0
2020-12-31,87.08,$-0.44,0.0
2020-09-30,85.76,$-0.41,0.0
2020-06-30,84.52,$-0.68,0.0
