Educational Development Price to Free Cash Flow Ratio Historical Data,Educational Development Price to Free Cash Flow Ratio Historical Data,Educational Development Price to Free Cash Flow Ratio Historical Data,Educational Development Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.28,,7.36
2024-11-30,1.83,$0.17,10.57
2024-08-31,2.03,$1.05,1.94
2024-05-31,1.87,$1.57,1.19
2024-02-29,1.84,$1.54,1.19
2023-11-30,0.85,$1.76,0.48
2023-08-31,1.52,$0.80,1.89
2023-05-31,1.22,$0.19,6.37
2023-02-28,3.68,$-0.19,0.0
2022-11-30,2.98,$-1.70,0.0
2022-08-31,3.17,$-1.56,0.0
2022-05-31,4.51,$-2.45,0.0
2022-02-28,7.88,$-2.94,0.0
2021-11-30,9.04,$-5.34,0.0
2021-08-31,9.45,$-4.78,0.0
2021-05-31,13.8,$-1.82,0.0
2021-02-28,14.96,$0.44,34.34
2020-11-30,14.99,$3.91,3.84
2020-08-31,14.5,$3.98,3.64
2020-05-31,7.72,$2.04,3.78
2020-02-29,4.83,$0.43,11.14
2019-11-30,5.65,$0.55,10.27
2019-08-31,5.41,$0.58,9.34
2019-05-31,6.64,$-0.05,0.0
2019-02-28,7.3,$0.31,23.48
2018-11-30,8.78,$0.52,17.04
2018-08-31,10.71,$0.77,13.91
2018-05-31,10.04,$1.26,7.95
2018-02-28,8.6,$0.95,9.02
2017-11-30,6.2,$1.01,6.15
2017-08-31,4.69,$-0.31,0.0
2017-05-31,4.38,$-0.28,0.0
2017-02-28,4.24,$-0.50,0.0
2016-11-30,3.98,$-3.59,0.0
2016-08-31,5.28,$-2.78,0.0
2016-05-31,4.61,$-2.54,0.0
2016-02-29,4.87,$-2.25,0.0
2015-11-30,5.91,$1.06,5.6
2015-08-31,2.55,$0.31,8.23
2015-05-31,2.0,$-0.01,0.0
2015-02-28,1.76,$-0.07,0.0
2014-11-30,1.69,$0.05,33.64
2014-08-31,1.93,$-0.03,0.0
2014-05-31,1.49,$0.14,10.44
2014-02-28,1.42,$0.34,4.18
2013-11-30,1.12,$0.18,6.17
2013-08-31,1.1,$0.11,9.99
2013-05-31,1.25,$0.07,16.69
2013-02-28,1.34,$0.08,17.34
2012-11-30,1.29,$0.09,14.36
2012-08-31,1.28,$0.11,11.4
2012-05-31,1.39,$0.16,8.49
2012-02-29,1.53,$0.09,16.81
2011-11-30,1.58,$-0.04,0.0
2011-08-31,1.53,$0.17,9.28
2011-05-31,1.59,$0.34,4.66
2011-02-28,1.84,$0.36,5.12
2010-11-30,1.69,$0.53,3.2
2010-08-31,1.55,$0.42,3.67
2010-05-31,1.59,$0.16,10.04
2010-02-28,1.59,$0.05,30.25
2009-11-30,1.39,$0.56,2.49
