Aditxt Price to Free Cash Flow Ratio Historical Data,Aditxt Price to Free Cash Flow Ratio Historical Data,Aditxt Price to Free Cash Flow Ratio Historical Data,Aditxt Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.69,,0.02
2024-09-30,0.11,$456.38,0.0
2024-06-30,1.37,$-767.88,0.0
2024-03-31,3.4,"$-1,220.04",0.0
2023-12-31,6.63,"$-2,459.51",0.0
2023-09-30,12.49,"$-3,053.36",0.0
2023-06-30,0.45,"$-2,357.13",0.0
2023-03-31,0.91,"$-1,872.80",0.0
2022-12-31,1.15,$-491.32,0.0
2022-09-30,3.39,$-464.97,0.0
2022-06-30,7.16,$-69.33,0.0
2022-03-31,22.83,$-66.74,0.0
2021-12-31,26.81,$-61.07,0.0
2021-09-30,84.5,$-42.22,0.0
2021-06-30,129.5,$-1.74,0.0
