Seer Price to Free Cash Flow Ratio Historical Data,Seer Price to Free Cash Flow Ratio Historical Data,Seer Price to Free Cash Flow Ratio Historical Data,Seer Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.9,,0.0
2024-12-31,2.31,$-0.79,0.0
2024-09-30,1.97,$-0.82,0.0
2024-06-30,1.68,$-0.83,0.0
2024-03-31,1.9,$-0.91,0.0
2023-12-31,1.94,$-1.04,0.0
2023-09-30,2.21,$-1.16,0.0
2023-06-30,4.27,$-1.12,0.0
2023-03-31,3.86,$-1.12,0.0
2022-12-31,5.8,$-1.14,0.0
2022-09-30,7.74,$-1.05,0.0
2022-06-30,8.95,$-0.99,0.0
2022-03-31,15.24,$-0.94,0.0
2021-12-31,22.81,$-0.88,0.0
2021-09-30,34.53,$-1.71,0.0
