Indonesia Energy Price to Free Cash Flow Ratio Historical Data,Indonesia Energy Price to Free Cash Flow Ratio Historical Data,Indonesia Energy Price to Free Cash Flow Ratio Historical Data,Indonesia Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.95,,inf
2023-12-31,2.71,0.0,0.0
2023-06-30,4.42,0.0,0.0
2022-12-31,4.66,0.0,0.0
2022-06-30,6.55,0.0,0.0
2021-12-31,2.8,0.0,0.0
2021-06-30,6.4,0.0,0.0
