ProAssurance Price to Free Cash Flow Ratio Historical Data,ProAssurance Price to Free Cash Flow Ratio Historical Data,ProAssurance Price to Free Cash Flow Ratio Historical Data,ProAssurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.02,,0.0
2024-12-31,15.91,$-0.38,0.0
2024-09-30,15.04,$-0.41,0.0
2024-06-30,12.22,$-0.38,0.0
2024-03-31,12.86,$-0.71,0.0
2023-12-31,13.79,$-1.04,0.0
2023-09-30,18.89,$-1.65,0.0
2023-06-30,15.09,$-1.71,0.0
2023-03-31,18.48,$-1.45,0.0
2022-12-31,17.42,$-0.63,0.0
2022-09-30,19.4,$0.13,146.2
2022-06-30,23.44,$0.67,34.87
2022-03-31,26.6,$1.04,25.64
2021-12-31,24.99,$1.30,19.26
2021-09-30,23.44,$1.56,14.98
2021-06-30,22.37,$2.13,10.51
2021-03-31,26.26,$2.36,11.14
2020-12-31,17.42,$1.57,11.07
2020-09-30,15.28,$1.55,9.87
2020-06-30,14.08,$1.16,12.12
2020-03-31,24.25,$1.71,14.2
2019-12-31,34.63,$2.57,13.46
2019-09-30,38.26,$2.80,13.67
2019-06-30,34.05,$3.37,10.11
2019-03-31,32.37,$2.38,13.61
2018-12-31,37.6,$3.12,12.06
2018-09-30,42.61,$3.57,11.92
2018-06-30,31.96,$3.04,10.52
2018-03-31,43.4,$3.16,13.73
2017-12-31,50.76,$3.04,16.71
2017-09-30,44.61,$2.92,15.27
2017-06-30,49.35,$2.75,17.92
2017-03-31,48.65,$3.29,14.8
2016-12-31,45.15,$3.14,14.36
2016-09-30,38.76,$2.29,16.95
2016-06-30,39.31,$2.40,16.4
2016-03-31,36.92,$2.27,16.29
2015-12-31,35.19,$1.85,19.06
2015-09-30,34.65,$1.71,20.22
2015-06-30,32.42,$2.04,15.87
2015-03-31,32.0,$1.72,18.63
2014-12-31,31.26,$1.56,19.98
2014-09-30,28.61,$1.82,15.71
2014-06-30,28.64,$1.21,23.6
2014-03-31,28.53,$1.23,23.11
2013-12-31,30.85,$0.53,58.41
2013-09-30,28.49,$0.87,32.75
2013-06-30,32.8,$0.75,43.79
2013-03-31,29.62,$0.81,36.62
2012-12-31,26.12,$1.48,17.7
2012-09-30,26.32,$1.85,14.22
2012-06-30,25.85,$2.25,11.47
2012-03-31,25.49,$2.64,9.67
2011-12-31,23.03,$2.58,8.91
2011-09-30,20.71,$2.19,9.44
2011-06-30,20.06,$1.86,10.77
2011-03-31,18.16,$1.84,9.89
2010-12-31,17.37,$2.16,8.03
2010-09-30,16.51,$2.59,6.37
2010-06-30,16.27,$2.10,7.76
2010-03-31,16.78,$1.75,9.6
2009-12-31,15.39,$1.14,13.53
