Aptiv Price to Free Cash Flow Ratio Historical Data,Aptiv Price to Free Cash Flow Ratio Historical Data,Aptiv Price to Free Cash Flow Ratio Historical Data,Aptiv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,62.48,,9.89
2024-12-31,60.48,$6.32,9.57
2024-09-30,72.01,$4.44,16.21
2024-06-30,70.42,$4.85,14.53
2024-03-31,79.65,$4.46,17.85
2023-12-31,89.72,$3.51,25.53
2023-09-30,98.59,$4.81,20.5
2023-06-30,102.09,$3.76,27.16
2023-03-31,112.19,$2.18,51.39
2022-12-31,93.13,$1.56,59.7
2022-09-30,78.21,$0.59,132.69
2022-06-30,89.07,$-0.84,0.0
2022-03-31,119.71,$0.20,602.77
2021-12-31,164.95,$2.29,72.16
2021-09-30,148.97,$3.08,48.32
2021-06-30,157.33,$5.38,29.24
2021-03-31,137.9,$3.70,37.25
2020-12-31,130.29,$3.10,42.04
2020-09-30,91.68,$2.59,35.46
2020-06-30,77.92,$1.52,51.3
2020-03-31,49.24,$3.74,13.18
2019-12-31,94.74,$3.33,28.45
2019-09-30,87.01,$3.40,25.62
2019-06-30,80.24,$2.63,30.53
2019-03-31,78.69,$2.75,28.65
2018-12-31,60.78,$3.00,20.28
2018-09-30,82.58,$1.62,51.11
2018-06-30,89.99,$1.71,52.64
2018-03-31,83.26,$2.12,39.29
2017-12-31,82.92,$2.91,28.54
2017-09-30,80.37,$4.50,17.85
2017-06-30,71.37,$5.35,13.33
2017-03-31,65.32,$5.16,12.66
2016-12-31,54.44,$4.80,11.35
2016-09-30,57.41,$5.02,11.43
2016-06-30,50.17,$4.81,10.43
2016-03-31,59.88,$4.66,12.86
2015-12-31,68.1,$4.29,15.89
2015-09-30,60.22,$4.07,14.81
2015-06-30,67.18,$4.54,14.79
2015-03-31,62.77,$4.79,13.11
2014-12-31,57.07,$4.62,12.36
2014-09-30,47.96,$4.13,11.61
2014-06-30,53.55,$3.85,13.92
2014-03-31,52.67,$3.53,14.9
2013-12-31,46.49,$3.78,12.31
2013-09-30,45.03,$2.39,18.86
2013-06-30,38.95,$2.41,16.19
2013-03-31,33.99,$2.15,15.84
2012-12-31,29.17,$2.45,11.89
2012-09-30,23.64,$4.44,5.33
