C&F Financial Price to Free Cash Flow Ratio Historical Data,C&F Financial Price to Free Cash Flow Ratio Historical Data,C&F Financial Price to Free Cash Flow Ratio Historical Data,C&F Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.79,,6.96
2024-12-31,71.25,$10.61,6.72
2024-09-30,58.02,$4.79,12.11
2024-06-30,47.57,$11.83,4.02
2024-03-31,47.89,$11.17,4.29
2023-12-31,66.04,$10.95,6.03
2023-09-30,51.57,$11.93,4.32
2023-06-30,51.25,$10.79,4.75
2023-03-31,48.96,$13.41,3.65
2022-12-31,54.76,$24.78,2.21
2022-09-30,49.9,$28.83,1.73
2022-06-30,42.51,$27.95,1.52
2022-03-31,46.35,$43.00,1.08
2021-12-31,46.59,$42.34,1.1
2021-09-30,47.96,$47.50,1.01
2021-06-30,45.7,$22.41,2.04
2021-03-31,39.38,$-7.72,0.0
2020-12-31,32.75,$-24.74,0.0
2020-09-30,25.94,$-38.12,0.0
2020-06-30,28.68,$-15.83,0.0
2020-03-31,34.04,$-15.27,0.0
2019-12-31,46.65,$-5.02,0.0
2019-09-30,44.09,$-3.71,0.0
2019-06-30,45.4,$0.29,154.31
2019-03-31,41.76,$10.33,4.04
2018-12-31,43.6,$12.62,3.46
2018-09-30,47.79,$9.21,5.19
2018-06-30,50.58,$5.71,8.86
2018-03-31,42.29,$7.75,5.46
2017-12-31,46.32,$6.19,7.48
2017-09-30,43.68,$13.87,3.15
2017-06-30,37.0,$11.95,3.1
2017-03-31,36.28,$4.78,7.59
2016-12-31,38.76,$7.32,5.3
2016-09-30,33.28,$2.20,15.15
2016-06-30,34.32,$11.03,3.11
2016-03-31,29.07,$13.15,2.21
2015-12-31,29.44,$3.98,7.41
2015-09-30,27.31,$6.14,4.45
2015-06-30,27.5,$-0.46,0.0
2015-03-31,25.73,$4.02,6.39
2014-12-31,29.01,$9.42,3.08
2014-09-30,24.1,$12.82,1.88
2014-06-30,25.85,$12.27,2.11
2014-03-31,23.61,$10.94,2.16
2013-12-31,32.28,$17.40,1.85
2013-09-30,33.98,$12.99,2.62
2013-06-30,38.91,$15.39,2.53
2013-03-31,28.43,$13.93,2.04
2012-12-31,26.85,$8.59,3.13
2012-09-30,26.9,$-1.54,0.0
2012-06-30,27.27,$-1.66,0.0
2012-03-31,20.07,$-1.32,0.0
2011-12-31,17.78,$8.24,2.16
2011-09-30,15.43,$19.10,0.81
2011-06-30,13.91,$14.27,0.98
2011-03-31,14.84,$10.57,1.4
2010-12-31,14.25,$-4.69,0.0
2010-09-30,11.67,$-0.42,0.0
2010-06-30,11.21,$6.61,1.7
2010-03-31,12.08,$13.15,0.92
2009-12-31,11.54,$10.31,1.12
