Crawford Price to Free Cash Flow Ratio Historical Data,Crawford Price to Free Cash Flow Ratio Historical Data,Crawford Price to Free Cash Flow Ratio Historical Data,Crawford Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.12,,55.46
2024-12-31,11.63,$0.20,58.0
2024-09-30,11.11,$0.18,63.02
2024-06-30,8.01,$0.63,12.71
2024-03-31,9.07,$0.95,9.54
2023-12-31,13.08,$1.35,9.65
2023-09-30,8.57,$1.58,5.43
2023-06-30,9.39,$0.68,13.71
2023-03-31,7.67,$0.12,65.84
2022-12-31,5.31,$-0.08,0.0
2022-09-30,5.25,$-0.41,0.0
2022-06-30,7.05,$-0.12,0.0
2022-03-31,7.29,$0.11,63.67
2021-12-31,7.49,$0.43,17.3
2021-09-30,8.96,$0.40,22.15
2021-06-30,8.6,$1.06,8.14
2021-03-31,9.63,$1.27,7.56
2020-12-31,7.11,$1.05,6.8
2020-09-30,6.32,$1.09,5.82
2020-06-30,6.86,$0.95,7.25
2020-03-31,6.2,$0.76,8.15
2019-12-31,9.79,$1.00,9.78
2019-09-30,9.68,$1.12,8.68
2019-06-30,8.89,$1.08,8.26
2019-03-31,8.67,$0.78,11.05
2018-12-31,8.5,$0.40,21.21
2018-09-30,8.65,$0.05,179.85
2018-06-30,8.08,$-0.17,0.0
2018-03-31,7.63,$-0.04,0.0
2017-12-31,8.88,$-0.07,0.0
2017-09-30,10.99,$0.40,27.17
2017-06-30,8.5,$0.70,12.06
2017-03-31,9.12,$0.97,9.37
2016-12-31,11.36,$1.24,9.17
2016-09-30,10.23,$1.16,8.82
2016-06-30,7.62,$0.59,12.84
2016-03-31,5.78,$0.74,7.84
2015-12-31,4.69,$0.52,9.02
2015-09-30,4.91,$0.69,7.09
2015-06-30,7.32,$0.82,8.93
2015-03-31,7.45,$0.47,15.86
2014-12-31,8.81,$-0.37,0.0
2014-09-30,7.03,$0.22,32.04
2014-06-30,8.55,$0.05,164.02
2014-03-31,9.21,$0.45,20.59
2013-12-31,7.77,$0.84,9.22
2013-09-30,8.12,$0.78,10.39
2013-06-30,4.68,$1.37,3.43
2013-03-31,6.3,$1.07,5.86
2012-12-31,6.59,$1.09,6.07
2012-09-30,4.1,$0.62,6.65
2012-06-30,3.32,$0.19,17.81
2012-03-31,3.96,$0.34,11.61
2011-12-31,4.95,$0.13,37.35
2011-09-30,4.3,$0.08,53.38
2011-06-30,5.65,$-0.07,0.0
2011-03-31,3.79,$-0.53,0.0
2010-12-31,2.7,$-0.03,0.0
2010-09-30,1.93,$-0.16,0.0
2010-06-30,2.51,$-0.12,0.0
2010-03-31,3.23,$0.30,10.77
2009-12-31,3.12,$0.52,5.98
