TechnipFMC Price to Free Cash Flow Ratio Historical Data,TechnipFMC Price to Free Cash Flow Ratio Historical Data,TechnipFMC Price to Free Cash Flow Ratio Historical Data,TechnipFMC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.29,,18.47
2024-12-31,28.94,$1.59,18.25
2024-09-30,26.18,$1.94,13.48
2024-06-30,26.05,$2.00,13.04
2024-03-31,24.97,$1.80,13.91
2023-12-31,19.99,$1.22,16.36
2023-09-30,20.14,$0.95,21.17
2023-06-30,16.41,$0.78,21.01
2023-03-31,13.48,$0.32,42.76
2022-12-31,12.04,$0.50,24.11
2022-09-30,8.35,$0.30,27.78
2022-06-30,6.65,$0.10,64.9
2022-03-31,7.65,$0.29,26.84
2021-12-31,5.85,$1.53,3.83
2021-09-30,7.44,$1.80,4.12
2021-06-30,8.94,$1.82,4.91
2021-03-31,7.62,$1.54,4.96
2020-12-31,9.28,$0.99,9.33
2020-09-30,6.23,$0.93,6.73
2020-06-30,6.75,$0.70,9.7
2020-03-31,6.66,$1.02,6.51
2019-12-31,20.74,$0.99,20.97
2019-09-30,23.2,$-0.04,0.0
2019-06-30,24.8,$-0.00,0.0
2019-03-31,22.36,$-0.75,0.0
2018-12-31,18.51,$-1.17,0.0
2018-09-30,29.38,$-1.62,0.0
2018-06-30,29.71,$-1.80,0.0
2018-03-31,27.46,$-0.83,0.0
2017-12-31,29.06,$-0.07,0.0
2017-09-30,25.79,$-0.12,0.0
2017-06-30,25.13,$-1.56,0.0
2017-03-31,30.02,$0.10,287.29
2016-12-31,32.82,$0.97,33.85
2016-09-30,27.41,$1.84,14.88
2016-06-30,24.64,$4.37,5.64
2016-03-31,25.27,$2.46,10.28
2015-12-31,26.8,$1.75,15.31
2015-09-30,28.64,$2.47,11.58
2015-06-30,38.33,$2.15,17.87
2015-03-31,34.19,$2.61,13.1
2014-12-31,43.27,$2.06,21.0
2014-09-30,50.17,$2.07,24.24
2014-06-30,56.41,$1.77,31.91
2014-03-31,48.3,$2.31,20.87
2013-12-31,48.23,$2.01,23.96
2013-09-30,51.19,$0.89,57.79
2013-06-30,51.43,$0.63,81.77
2013-03-31,50.24,$-1.19,0.0
2012-12-31,39.56,$-1.10,0.0
2012-09-30,42.77,$-1.36,0.0
2012-06-30,36.24,$-1.76,0.0
2012-03-31,46.58,$-0.86,0.0
2011-12-31,48.25,$-0.44,0.0
2011-09-30,34.73,$-0.22,0.0
2011-06-30,41.37,$0.83,49.82
2011-03-31,43.64,$0.72,60.44
2010-12-31,41.07,$0.35,117.26
2010-09-30,31.54,$0.86,36.78
2010-06-30,24.32,$0.93,26.1
2010-03-31,29.85,$1.21,24.75
2009-12-31,26.71,$2.00,13.34
