Vision Marine Technologies Price to Free Cash Flow Ratio Historical Data,Vision Marine Technologies Price to Free Cash Flow Ratio Historical Data,Vision Marine Technologies Price to Free Cash Flow Ratio Historical Data,Vision Marine Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.64,,0.0
2024-11-30,2.2,$-66.86,0.0
2024-08-31,2.47,$-96.77,0.0
2024-05-31,0.62,$-129.19,0.0
2024-02-29,0.79,$-159.68,0.0
2023-11-30,1.32,$-143.62,0.0
2023-08-31,3.72,$-157.21,0.0
2023-05-31,3.69,$-144.34,0.0
2023-02-28,4.25,$-129.71,0.0
2022-11-30,4.51,$-154.39,0.0
2022-08-31,6.43,$-152.15,0.0
2022-05-31,4.16,$-176.85,0.0
2022-02-28,7.35,$-216.51,0.0
