Data Storage Price to Free Cash Flow Ratio Historical Data,Data Storage Price to Free Cash Flow Ratio Historical Data,Data Storage Price to Free Cash Flow Ratio Historical Data,Data Storage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.57,,29.82
2024-09-30,3.77,$0.12,31.5
2024-06-30,6.56,$0.26,25.6
2024-03-31,5.72,$0.23,25.29
2023-12-31,2.88,$0.32,8.92
2023-09-30,3.24,$0.19,16.77
2023-06-30,2.33,$0.11,22.1
2023-03-31,1.82,$-0.15,0.0
2022-12-31,1.48,$0.08,18.69
2022-09-30,2.04,$-0.08,0.0
2022-06-30,2.45,$-0.29,0.0
2022-03-31,3.23,$0.08,42.84
2021-12-31,3.06,$-0.13,0.0
2021-09-30,4.44,$0.08,56.7
2021-06-30,5.83,$0.32,18.23
2021-03-31,9.4,$0.23,40.94
2020-12-31,5.78,$0.28,20.93
