GE HealthCare Technologies Price to Free Cash Flow Ratio Historical Data,GE HealthCare Technologies Price to Free Cash Flow Ratio Historical Data,GE HealthCare Technologies Price to Free Cash Flow Ratio Historical Data,GE HealthCare Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,81.81,,24.16
2024-12-31,78.18,$3.39,23.09
2024-09-30,93.85,$3.71,25.32
2024-06-30,77.92,$3.53,22.07
2024-03-31,90.91,$3.63,25.04
2023-12-31,77.32,$3.74,20.65
