Charles & Colvard Price to Free Cash Flow Ratio Historical Data,Charles & Colvard Price to Free Cash Flow Ratio Historical Data,Charles & Colvard Price to Free Cash Flow Ratio Historical Data,Charles & Colvard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.99,,0.0
2024-03-31,3.41,$-2.36,0.0
2023-12-31,4.1,$-1.93,0.0
2023-09-30,5.72,$-1.28,0.0
2023-06-30,9.55,$-1.68,0.0
2023-03-31,9.3,$-1.80,0.0
2022-12-31,8.23,$-1.30,0.0
2022-09-30,9.69,$-0.83,0.0
2022-06-30,12.2,$-0.30,0.0
2022-03-31,15.7,$0.53,29.42
2021-12-31,28.9,$1.05,27.61
2021-09-30,30.0,$1.44,20.86
2021-06-30,29.8,$2.00,14.93
2021-03-31,29.6,$2.03,14.59
2020-12-31,12.3,$0.86,14.33
2020-09-30,8.2,$0.13,65.19
2020-06-30,7.3,$-0.07,0.0
2020-03-31,6.77,$-1.03,0.0
2019-12-31,14.2,$0.22,66.02
2019-09-30,16.3,$0.32,51.0
2019-06-30,15.8,$0.25,62.9
2019-03-31,11.4,$1.43,7.95
2018-12-31,8.5,$-0.15,0.0
2018-09-30,8.73,$0.02,400.41
2018-06-30,10.7,0,0.0
2018-03-31,13.6,$-0.99,0.0
2017-12-31,13.5,$-0.54,0.0
2017-09-30,8.7,$-3.00,0.0
2017-06-30,9.2,$-0.54,0.0
2017-03-31,9.6,$-0.63,0.0
2016-12-31,11.0,$2.61,4.22
2016-09-30,11.6,$3.81,3.05
2016-06-30,10.2,$2.61,3.91
2016-03-31,11.5,$2.83,4.06
2015-12-31,11.2,$0.56,20.16
2015-09-30,13.2,$1.21,10.93
2015-06-30,15.1,$0.56,27.18
2015-03-31,11.7,$1.05,11.13
2014-12-31,18.4,$0.42,43.9
2014-09-30,21.2,$3.39,6.26
2014-06-30,22.0,$0.42,52.49
2014-03-31,28.6,$-1.70,0.0
2013-12-31,50.5,$-1.27,0.0
2013-09-30,70.1,$-4.85,0.0
2013-06-30,40.8,$-1.27,0.0
2013-03-31,38.6,$0.84,46.02
2012-12-31,39.2,$0.47,84.17
2012-09-30,36.1,$0.66,54.93
2012-06-30,37.7,$0.47,80.95
2012-03-31,46.2,$0.32,146.57
2011-12-31,25.7,$0.41,62.24
2011-09-30,22.4,$0.52,43.45
2011-06-30,27.3,$0.41,66.12
2011-03-31,37.6,$0.18,214.49
2010-12-31,30.2,$0.29,103.85
2010-09-30,22.0,$-0.03,0.0
2010-06-30,27.9,$0.29,95.94
2010-03-31,18.3,$0.94,19.46
2009-12-31,11.6,$0.84,13.78
