Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data,Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data,Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data,Coca-Cola Europacific Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,85.56,,29.22
2018-12-31,39.53,$2.93,13.5
2018-09-30,38.94,$4.65,8.38
2018-06-30,34.55,$3.05,11.32
2018-03-31,35.14,$0.30,118.79
2017-09-30,34.59,$1.91,18.09
2017-06-30,33.61,0,0.0
2016-12-31,25.79,$0.36,72.17
2016-09-30,32.77,$3.51,9.33
2016-03-31,32.37,$2.60,12.46
2015-12-31,31.41,$2.69,11.66
2015-09-30,30.85,$3.49,8.83
2015-06-30,27.71,$3.12,8.89
2015-03-31,28.2,$2.97,9.49
2014-12-31,28.21,$2.69,10.5
2014-09-30,28.3,$2.05,13.83
2014-06-30,30.48,$2.25,13.53
2014-03-31,30.47,$2.14,14.21
2013-12-31,28.15,$1.92,14.67
2013-09-30,25.53,$1.85,13.82
2013-06-30,22.21,$1.73,12.84
2013-03-31,23.19,$2.32,9.99
2012-12-31,19.82,$1.93,10.25
2012-09-30,19.43,$1.75,11.11
2012-06-30,17.33,$1.47,11.8
2012-03-31,17.57,$1.07,16.39
2011-12-31,15.75,$1.50,10.51
2011-09-30,15.12,$1.24,12.22
2011-06-30,17.65,$0.23,77.88
2011-03-31,16.43,$-0.22,0.0
2010-12-31,15.0,0,0.0
2010-09-30,12.71,0,0.0
2010-06-30,10.57,$-0.26,0.0
2010-03-31,11.27,$0.17,67.07
2009-12-31,8.61,0,0.0
