Timberland Bancorp Price to Free Cash Flow Ratio Historical Data,Timberland Bancorp Price to Free Cash Flow Ratio Historical Data,Timberland Bancorp Price to Free Cash Flow Ratio Historical Data,Timberland Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.99,,17.82
2024-12-31,30.51,$1.68,18.13
2024-09-30,30.03,$2.69,11.17
2024-06-30,26.65,$2.79,9.54
2024-03-31,26.24,$2.84,9.23
2023-12-31,30.4,$3.07,9.91
2023-09-30,25.97,$3.62,7.17
2023-06-30,24.33,$3.70,6.58
2023-03-31,25.44,$3.75,6.79
2022-12-31,31.93,$3.68,8.69
2022-09-30,25.62,$3.05,8.39
2022-06-30,22.97,$2.90,7.92
2022-03-31,24.61,$3.35,7.34
2021-12-31,25.04,$3.81,6.58
2021-09-30,25.93,$3.40,7.62
2021-06-30,24.97,$4.03,6.2
2021-03-31,24.52,$3.27,7.49
2020-12-31,21.15,$2.81,7.53
2020-09-30,15.54,$3.82,4.07
2020-06-30,15.54,$2.45,6.34
2020-03-31,15.42,$2.59,5.95
2019-12-31,24.89,$2.30,10.81
2019-09-30,22.81,$1.88,12.11
2019-06-30,24.63,$2.38,10.35
2019-03-31,22.87,$2.51,9.13
2018-12-31,18.13,$2.57,7.07
2018-09-30,25.2,$2.62,9.61
2018-06-30,30.01,$2.47,12.17
2018-03-31,24.26,$2.25,10.8
2017-12-31,21.09,$1.59,13.29
2017-09-30,24.8,$1.40,17.71
2017-06-30,19.85,$1.62,12.28
2017-03-31,17.51,$0.87,20.05
2016-12-31,16.07,$1.34,11.98
2016-09-30,12.19,$1.57,7.75
2016-06-30,11.54,$1.39,8.3
2016-03-31,9.67,$1.58,6.11
2015-12-31,9.43,$1.43,6.6
2015-09-30,8.2,$1.05,7.85
2015-06-30,7.5,$0.94,8.01
2015-03-31,7.92,$0.91,8.7
2014-12-31,7.84,$1.12,7.01
2014-09-30,7.76,$1.06,7.29
2014-06-30,7.72,$1.38,5.58
2014-03-31,7.81,$1.93,4.04
2013-12-31,7.0,$1.69,4.15
2013-09-30,6.53,$1.60,4.07
2013-06-30,6.08,$1.87,3.25
2013-03-31,5.91,$1.34,4.4
2012-12-31,4.98,$1.79,2.77
2012-09-30,4.3,$2.06,2.09
2012-06-30,3.62,$1.34,2.7
2012-03-31,3.34,$1.46,2.29
2011-12-31,2.83,$1.38,2.05
2011-09-30,2.9,$1.44,2.02
2011-06-30,4.24,$1.43,2.97
2011-03-31,4.02,$1.56,2.58
2010-12-31,2.59,$1.79,1.44
2010-09-30,2.9,$0.83,3.5
2010-06-30,2.37,$1.22,1.94
2010-03-31,2.87,$1.94,1.48
2009-12-31,3.18,$1.03,3.08
