Cambium Networks Price to Free Cash Flow Ratio Historical Data,Cambium Networks Price to Free Cash Flow Ratio Historical Data,Cambium Networks Price to Free Cash Flow Ratio Historical Data,Cambium Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.76,,0.0
2024-09-30,1.83,$-0.65,0.0
2024-06-30,2.79,$-0.94,0.0
2024-03-31,4.31,$-1.14,0.0
2023-12-31,6.0,$-0.78,0.0
2023-09-30,7.33,$-0.41,0.0
2023-06-30,15.22,$-0.32,0.0
2023-03-31,17.72,$0.21,84.95
2022-12-31,21.67,$-0.27,0.0
2022-09-30,16.92,$-0.25,0.0
2022-06-30,14.65,$0.04,335.24
2022-03-31,23.64,$0.38,62.84
2021-12-31,25.63,$0.83,30.96
2021-09-30,36.19,$1.24,29.27
2021-06-30,48.35,$1.47,32.97
2021-03-31,46.72,$1.80,25.9
2020-12-31,25.08,$2.03,12.38
2020-09-30,16.87,$1.72,9.79
2020-06-30,7.36,$0.41,17.81
2020-03-31,5.6,$-0.04,0.0
