Sharps Technology Price to Free Cash Flow Ratio Historical Data,Sharps Technology Price to Free Cash Flow Ratio Historical Data,Sharps Technology Price to Free Cash Flow Ratio Historical Data,Sharps Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,0.0
2024-09-30,0.15,$-7.58,0.0
2024-06-30,0.24,$-10.71,0.0
2024-03-31,0.34,$-13.19,0.0
2023-12-31,0.42,$-15.52,0.0
2023-09-30,0.55,$-19.51,0.0
2023-06-30,0.79,$-18.91,0.0
2023-03-31,1.11,$-24.05,0.0
