Waldencast Price to Free Cash Flow Ratio Historical Data,Waldencast Price to Free Cash Flow Ratio Historical Data,Waldencast Price to Free Cash Flow Ratio Historical Data,Waldencast Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.13,,5.98
2022-12-31,9.08,$0.52,17.33
2022-06-30,9.85,$0.23,42.6
2022-03-31,9.91,$0.34,29.15
