Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data,Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data,Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data,Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.19,,3.78
2024-12-31,2.58,$0.58,4.46
2024-09-30,2.94,$0.73,4.02
2024-06-30,3.43,$0.54,6.31
2024-03-31,3.56,$0.43,8.34
2023-12-31,3.24,$0.42,7.71
2023-09-30,4.28,$0.27,15.92
2023-06-30,3.15,$0.46,6.82
2023-03-31,3.63,$0.79,4.58
2022-12-31,0.5,$0.92,0.55
2022-09-30,0.5,$0.89,0.57
2022-06-30,0.5,$0.78,0.65
2022-03-31,0.5,$0.57,0.88
2021-12-31,0.5,$0.56,0.89
2021-09-30,0.5,$0.29,1.76
2021-06-30,0.5,$0.28,1.81
2021-03-31,0.5,$0.14,3.62
2020-12-31,0.5,$0.09,5.38
2020-09-30,0.34,$0.24,1.42
2020-06-30,0.49,$0.21,2.29
2020-03-31,0.23,$0.38,0.59
2019-12-31,1.4,$0.38,3.7
2019-09-30,1.43,$0.24,6.05
2019-06-30,1.49,$0.20,7.57
2019-03-31,1.63,$-0.01,0.0
2018-12-31,1.7,$-0.02,0.0
2018-09-30,2.81,$0.08,35.23
2018-06-30,3.22,$0.07,43.58
2018-03-31,2.65,$0.05,52.17
2017-12-31,2.9,$-0.20,0.0
2017-09-30,2.91,$-0.36,0.0
2017-06-30,2.35,$0.02,153.62
2017-03-31,3.31,$0.12,27.27
2016-12-31,4.72,$0.32,14.61
2016-09-30,4.11,$-0.08,0.0
2016-06-30,5.6,$-0.37,0.0
2016-03-31,3.84,$-0.25,0.0
2015-12-31,3.13,$0.12,25.71
2015-09-30,3.1,$1.25,2.48
2015-06-30,14.76,$1.90,7.79
2015-03-31,14.76,$1.76,8.39
2014-12-31,15.28,$1.08,14.16
2014-09-30,34.15,$1.18,28.82
2014-06-30,40.98,$1.07,38.34
2014-03-31,35.99,$0.89,40.39
2013-12-31,33.73,$1.00,33.66
2013-09-30,34.81,$2.55,13.66
2013-06-30,29.93,$2.11,14.16
2013-03-31,34.24,$2.31,14.85
2012-12-31,34.78,$2.63,13.21
2012-09-30,37.6,$0.92,40.93
2012-06-30,32.88,$0.60,55.22
2012-03-31,39.93,$1.20,33.28
2011-12-31,42.53,$1.09,39.13
2011-09-30,31.35,$0.96,32.62
2011-06-30,40.44,$1.66,24.36
2011-03-31,42.74,$1.26,33.87
2010-12-31,33.9,$1.71,19.84
2010-09-30,25.95,$1.46,17.77
2010-06-30,21.06,$0.40,52.17
2010-03-31,23.49,$0.54,43.29
2009-12-31,19.14,$0.05,406.37
