CorMedix Inc Price to Free Cash Flow Ratio Historical Data,CorMedix Inc Price to Free Cash Flow Ratio Historical Data,CorMedix Inc Price to Free Cash Flow Ratio Historical Data,CorMedix Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.86,,0.0
2024-09-30,8.08,$-1.04,0.0
2024-06-30,4.33,$-0.89,0.0
2024-03-31,4.24,$-0.83,0.0
2023-12-31,3.76,$-0.76,0.0
2023-09-30,3.7,$-0.66,0.0
2023-06-30,3.97,$-0.72,0.0
2023-03-31,4.14,$-0.67,0.0
2022-12-31,4.22,$-0.61,0.0
2022-09-30,2.83,$-0.62,0.0
2022-06-30,4.02,$-0.65,0.0
2022-03-31,5.48,$-0.59,0.0
2021-12-31,4.55,$-0.60,0.0
2021-09-30,4.65,$-0.65,0.0
2021-06-30,6.86,$-0.70,0.0
2021-03-31,9.99,$-0.65,0.0
2020-12-31,7.43,$-0.77,0.0
2020-09-30,6.03,$-0.70,0.0
2020-06-30,6.3,$-0.66,0.0
2020-03-31,3.59,$-0.61,0.0
2019-12-31,7.28,$-0.62,0.0
2019-09-30,6.38,$-0.92,0.0
2019-06-30,8.97,$-0.94,0.0
2019-03-31,9.45,$-1.18,0.0
2018-12-31,6.45,$-1.33,0.0
2018-09-30,4.84,$-1.72,0.0
2018-06-30,1.19,$-1.92,0.0
2018-03-31,0.91,$-2.24,0.0
2017-12-31,2.51,$-2.61,0.0
2017-09-30,2.6,$-2.68,0.0
2017-06-30,2.14,$-3.06,0.0
2017-03-31,8.15,$-3.02,0.0
2016-12-31,7.65,$-2.94,0.0
2016-09-30,12.6,$-2.74,0.0
2016-06-30,9.95,$-2.32,0.0
2016-03-31,13.25,$-2.26,0.0
2015-12-31,10.15,$-2.00,0.0
2015-09-30,9.95,$-1.69,0.0
2015-06-30,19.4,$-1.84,0.0
2015-03-31,49.2,$-1.60,0.0
2014-12-31,9.55,$-1.48,0.0
2014-09-30,9.4,$-1.47,0.0
2014-06-30,9.05,$-1.45,0.0
2014-03-31,12.55,$-1.43,0.0
2013-12-31,6.2,$-1.32,0.0
2013-09-30,4.61,$-1.16,0.0
2013-06-30,4.75,$-0.98,0.0
2013-03-31,4.05,$-1.26,0.0
2012-12-31,3.6,$-0.99,0.0
2012-09-30,1.31,$-1.19,0.0
2012-06-30,1.05,$-1.70,0.0
2012-03-31,2.33,$-2.03,0.0
2011-12-31,1.41,$-2.78,0.0
2011-09-30,4.55,$-1.90,0.0
2011-06-30,7.25,$-1.56,0.0
2011-03-31,8.95,$-1.36,0.0
