LightPath Technologies Price to Free Cash Flow Ratio Historical Data,LightPath Technologies Price to Free Cash Flow Ratio Historical Data,LightPath Technologies Price to Free Cash Flow Ratio Historical Data,LightPath Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.18,,0.0
2024-12-31,3.53,$-0.09,0.0
2024-09-30,1.37,$-0.09,0.0
2024-06-30,1.26,$-0.03,0.0
2024-03-31,1.38,$-0.12,0.0
2023-12-31,1.26,$-0.14,0.0
2023-09-30,1.45,$-0.14,0.0
2023-06-30,1.35,$-0.18,0.0
2023-03-31,1.41,$-0.05,0.0
2022-12-31,1.22,$0.01,0.0
2022-09-30,1.07,$0.07,14.46
2022-06-30,1.23,$-0.01,0.0
2022-03-31,1.97,$0.00,0.0
2021-12-31,2.44,$0.03,84.43
2021-09-30,2.13,$-0.03,0.0
2021-06-30,2.54,$0.06,42.47
2021-03-31,3.1,$0.05,65.54
2020-12-31,3.92,$0.03,124.84
2020-09-30,2.41,$0.02,96.79
2020-06-30,3.34,$0.05,62.08
2020-03-31,1.07,$0.04,27.37
2019-12-31,0.73,$0.02,36.62
2019-09-30,0.84,$0.01,77.78
2019-06-30,0.91,$-0.03,0.0
2019-03-31,1.5,$-0.05,0.0
2018-12-31,1.49,$-0.04,0.0
2018-09-30,2.02,$-0.04,0.0
2018-06-30,2.3,$0.00,0.0
2018-03-31,2.2,$0.08,28.99
2017-12-31,2.22,$0.08,27.75
2017-09-30,2.56,$0.11,24.11
2017-06-30,2.7,$0.13,21.08
2017-03-31,2.74,$0.06,49.82
2016-12-31,1.54,$0.03,49.36
2016-09-30,1.79,$0.02,100.0
2016-06-30,1.74,$0.02,73.42
2016-03-31,2.02,$0.06,32.63
2015-12-31,2.83,$0.04,71.11
2015-09-30,1.49,$0.02,62.08
2015-06-30,1.76,$-0.04,0.0
2015-03-31,0.98,$-0.12,0.0
2014-12-31,0.91,$-0.12,0.0
2014-09-30,1.47,$-0.18,0.0
2014-06-30,1.36,$-0.15,0.0
2014-03-31,1.55,$-0.09,0.0
2013-12-31,1.36,$-0.08,0.0
2013-09-30,1.21,$-0.02,0.0
2013-06-30,1.24,$-0.04,0.0
2013-03-31,0.75,$-0.03,0.0
2012-12-31,0.91,$-0.04,0.0
2012-09-30,0.98,$-0.01,0.0
2012-06-30,1.03,$-0.02,0.0
2012-03-31,1.4,$-0.06,0.0
2011-12-31,1.07,$-0.05,0.0
2011-09-30,1.44,$-0.07,0.0
2011-06-30,1.54,$-0.08,0.0
2011-03-31,2.1,$-0.12,0.0
2010-12-31,1.81,$-0.13,0.0
2010-09-30,2.86,$-0.12,0.0
2010-06-30,1.57,$-0.18,0.0
2010-03-31,2.18,$-0.12,0.0
2009-12-31,1.69,$-0.43,0.0
