Medalist Diversified REIT Price to Free Cash Flow Ratio Historical Data,Medalist Diversified REIT Price to Free Cash Flow Ratio Historical Data,Medalist Diversified REIT Price to Free Cash Flow Ratio Historical Data,Medalist Diversified REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.57,,19.02
2024-12-31,13.3,$0.66,20.13
2024-09-30,11.95,$1.20,10.0
2024-06-30,11.42,$0.58,19.85
2024-03-31,11.4,$0.11,106.42
2023-12-31,10.35,0,0.0
2023-09-30,10.41,$-1.61,0.0
2023-06-30,9.86,$-0.89,0.0
2023-03-31,12.98,$-9.48,0.0
2022-12-31,10.79,$-9.44,0.0
2022-09-30,12.42,$-20.74,0.0
2022-06-30,12.34,$-23.13,0.0
2022-03-31,15.49,$-25.40,0.0
2021-12-31,17.2,$-25.00,0.0
2021-09-30,17.48,$-13.98,0.0
2021-06-30,18.86,$-13.68,0.0
2021-03-31,28.15,$-6.18,0.0
2020-12-31,30.23,$-7.13,0.0
2020-09-30,17.3,$-58.42,0.0
2020-06-30,25.38,$-149.26,0.0
2020-03-31,23.58,$-146.54,0.0
2019-12-31,46.5,$-148.24,0.0
2019-09-30,54.89,$-99.38,0.0
