Alliance Entertainment Holding Price to Free Cash Flow Ratio Historical Data,Alliance Entertainment Holding Price to Free Cash Flow Ratio Historical Data,Alliance Entertainment Holding Price to Free Cash Flow Ratio Historical Data,Alliance Entertainment Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.76,,5.31
2024-12-31,9.06,$0.71,12.79
2024-09-30,2.72,$0.92,2.95
2024-06-30,3.0,$1.09,2.74
2024-03-31,2.14,$0.81,2.64
2023-12-31,0.93,$0.56,1.66
2023-09-30,1.11,$1.01,1.1
2023-06-30,2.55,$0.05,47.93
2023-03-31,8.15,$1.57,5.19
2022-12-31,10.18,$-0.36,0.0
2022-09-30,9.95,$-1.30,0.0
2022-06-30,9.89,$-0.36,0.0
2022-03-31,9.88,$-1.79,0.0
2021-12-31,9.79,$-0.04,0.0
