Trinseo Price to Free Cash Flow Ratio Historical Data,Trinseo Price to Free Cash Flow Ratio Historical Data,Trinseo Price to Free Cash Flow Ratio Historical Data,Trinseo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.03,,0.0
2024-12-31,5.1,$-2.20,0.0
2024-09-30,5.11,$-4.94,0.0
2024-06-30,2.31,$-3.55,0.0
2024-03-31,3.78,$-0.62,0.0
2023-12-31,8.37,$2.24,3.74
2023-09-30,8.17,$2.90,2.82
2023-06-30,12.67,$2.85,4.45
2023-03-31,20.85,$-1.48,0.0
2022-12-31,22.71,$-2.92,0.0
2022-09-30,18.32,$1.66,11.01
2022-06-30,38.14,$4.58,8.32
2022-03-31,47.19,$6.69,7.05
2021-12-31,51.36,$8.46,6.07
2021-09-30,52.84,$7.19,7.35
2021-06-30,58.15,$3.91,14.87
2021-03-31,61.8,$6.68,9.25
2020-12-31,49.63,$4.89,10.15
2020-09-30,24.51,$2.91,8.43
2020-06-30,20.79,$2.31,9.01
2020-03-31,16.67,$2.01,8.29
2019-12-31,33.85,$5.86,5.78
2019-09-30,38.67,$7.24,5.34
2019-06-30,37.73,$7.34,5.14
2019-03-31,40.03,$8.45,4.74
2018-12-31,40.45,$5.61,7.21
2018-09-30,68.82,$6.91,9.96
2018-06-30,62.02,$9.06,6.84
2018-03-31,64.43,$7.01,9.19
2017-12-31,62.87,$5.42,11.6
2017-09-30,57.81,$2.65,21.78
2017-06-30,59.18,$2.41,24.58
2017-03-31,57.55,$3.34,17.24
2016-12-31,50.61,$5.89,8.59
2016-09-30,48.0,$8.95,5.36
2016-06-30,36.19,$8.34,4.34
2016-03-31,31.03,$7.26,4.27
2015-12-31,23.77,$6.38,3.73
2015-09-30,21.28,$4.40,4.84
2015-06-30,22.62,$2.34,9.67
2015-03-31,16.69,$0.74,22.54
