Sol-Gel Technologies Price to Free Cash Flow Ratio Historical Data,Sol-Gel Technologies Price to Free Cash Flow Ratio Historical Data,Sol-Gel Technologies Price to Free Cash Flow Ratio Historical Data,Sol-Gel Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.58,,0.0
2024-09-30,0.68,$-0.66,0.0
2024-06-30,0.89,$-0.63,0.0
2024-03-31,0.98,$-0.66,0.0
2023-12-31,1.11,$-0.66,0.0
2023-09-30,1.63,$-0.42,0.0
2023-06-30,2.99,$-0.43,0.0
2023-03-31,3.88,$-0.42,0.0
2022-12-31,4.56,$-0.42,0.0
2022-09-30,5.02,$-0.34,0.0
2022-06-30,4.1,$-0.13,0.0
2022-03-31,7.38,$-0.34,0.0
2021-12-31,7.4,$-0.34,0.0
2021-09-30,10.0,$-1.14,0.0
2021-06-30,12.38,$-1.20,0.0
2021-03-31,12.38,$-1.14,0.0
2020-12-31,9.79,$-1.14,0.0
2020-09-30,7.24,$-1.18,0.0
2020-06-30,8.95,$-0.92,0.0
2020-03-31,7.06,$-1.18,0.0
2019-12-31,17.15,$-1.18,0.0
2019-09-30,8.99,$-0.47,0.0
2019-06-30,9.11,$-1.16,0.0
