VSee Health Price to Free Cash Flow Ratio Historical Data,VSee Health Price to Free Cash Flow Ratio Historical Data,VSee Health Price to Free Cash Flow Ratio Historical Data,VSee Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.23,,0.0
2024-09-30,1.49,$-0.37,0.0
2024-06-30,8.75,$-0.63,0.0
2024-03-31,11.79,$-0.25,0.0
2023-12-31,12.2,$-0.23,0.0
2023-09-30,11.91,$-0.11,0.0
2023-06-30,11.65,$-0.17,0.0
2023-03-31,11.22,$-0.17,0.0
2022-12-31,10.9,$-0.11,0.0
2022-09-30,10.13,$-0.05,0.0
