Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,194.46,,43.1
2024-11-30,225.79,$4.51,50.05
2024-08-31,200.92,$4.39,45.72
2024-05-31,168.84,$4.04,41.79
2024-02-29,156.24,$3.70,42.28
2023-11-30,137.21,$3.20,42.87
2023-08-31,124.73,$3.07,40.67
2023-05-31,116.49,$3.06,38.03
2023-02-28,107.92,$3.11,34.68
2022-11-30,113.36,$3.11,36.46
2022-08-31,99.62,$3.12,31.91
2022-05-31,97.27,$3.11,31.29
2022-02-28,91.42,$2.94,31.08
2021-11-30,102.58,$2.85,36.01
2021-08-31,95.95,$2.78,34.5
2021-05-31,85.5,$2.90,29.49
2021-02-28,78.28,$2.69,29.15
2020-11-30,85.56,$2.67,32.09
2020-08-31,79.43,$2.67,29.73
2020-05-31,59.1,$2.51,23.54
2020-02-29,63.58,$2.51,25.37
2019-11-30,61.27,$2.38,25.75
2019-08-31,62.27,$2.09,29.84
2019-05-31,52.36,$1.81,28.87
2019-02-28,48.77,$1.59,30.64
2018-11-30,44.23,$1.49,29.76
2018-08-31,49.8,$1.36,36.7
2018-05-31,42.54,$1.58,26.98
2018-02-28,39.83,$1.58,25.24
2017-11-30,36.75,$1.36,27.04
2017-08-31,31.16,$1.40,22.33
2017-05-31,29.06,$1.14,25.54
2017-02-28,27.24,$0.84,32.33
2016-11-30,26.45,$0.45,59.03
2016-08-31,26.78,$0.44,61.11
2016-05-31,21.6,$0.43,49.89
2016-02-29,19.14,$0.52,36.76
2015-11-30,20.87,$0.72,29.07
2015-08-31,19.15,$0.78,24.53
2015-05-31,19.4,$0.77,25.15
2015-02-28,18.81,$0.84,22.38
2014-11-30,16.48,$1.02,16.09
2014-08-31,14.55,$1.02,14.2
2014-05-31,13.67,$0.95,14.44
2014-02-28,13.34,$0.84,15.91
2013-11-30,12.21,$0.76,16.1
2013-08-31,10.36,$0.71,14.52
2013-05-31,9.9,$0.72,13.84
2013-02-28,9.52,$0.67,14.29
2012-11-30,8.99,$0.67,13.49
2012-08-31,8.63,$0.66,12.98
2012-05-31,7.88,$0.59,13.26
2012-02-29,8.23,$0.52,15.76
2011-11-30,6.49,$0.42,15.49
2011-08-31,6.71,$0.31,21.34
2011-05-31,6.89,$0.27,25.52
2011-02-28,5.9,$0.28,20.79
2010-11-30,5.61,$0.38,14.87
2010-08-31,5.25,$0.53,9.99
2010-05-31,5.36,$0.74,7.21
2010-02-28,5.11,$0.83,6.16
2009-11-30,5.68,$1.00,5.7
