AngioDynamics Price to Free Cash Flow Ratio Historical Data,AngioDynamics Price to Free Cash Flow Ratio Historical Data,AngioDynamics Price to Free Cash Flow Ratio Historical Data,AngioDynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.87,,46.51
2024-11-30,6.93,$0.21,32.66
2024-08-31,7.46,$0.27,27.25
2024-05-31,6.31,$2.58,2.44
2024-02-29,5.49,$2.85,1.93
2023-11-30,6.53,$2.33,2.8
2023-08-31,8.03,$2.39,3.36
2023-05-31,9.46,$-0.09,0.0
2023-02-28,12.38,$-0.28,0.0
2022-11-30,12.95,$-0.55,0.0
2022-08-31,22.14,$-0.69,0.0
2022-05-31,19.63,$-0.29,0.0
2022-02-28,23.53,$-0.18,0.0
2021-11-30,25.75,$0.19,138.66
2021-08-31,28.3,$0.43,66.29
2021-05-31,23.12,$0.49,46.89
2021-02-28,20.95,$0.25,82.61
2020-11-30,14.22,$-0.38,0.0
2020-08-31,9.37,$-0.55,0.0
2020-05-31,10.21,$-0.57,0.0
2020-02-29,11.49,$0.01,0.0
2019-11-30,15.37,$0.72,21.26
2019-08-31,18.37,$0.96,19.1
2019-05-31,18.79,$0.92,20.52
2019-02-28,22.41,$0.90,25.03
2018-11-30,21.49,$0.80,26.87
2018-08-31,22.42,$0.72,30.95
2018-05-31,21.03,$1.05,20.05
2018-02-28,16.29,$0.94,17.42
2017-11-30,17.18,$1.21,14.22
2017-08-31,17.03,$1.32,12.91
2017-05-31,15.08,$1.44,10.47
2017-02-28,16.35,$1.43,11.4
2016-11-30,16.3,$1.38,11.84
2016-08-31,16.54,$1.27,13.07
2016-05-31,12.01,$1.19,10.13
2016-02-29,10.87,$0.96,11.34
2015-11-30,11.9,$0.88,13.48
2015-08-31,14.76,$0.50,29.29
2015-05-31,16.05,$0.40,40.04
2015-02-28,18.6,$0.33,56.13
2014-11-30,17.5,$0.02,983.15
2014-08-31,14.11,$0.26,53.79
2014-05-31,14.33,$0.38,37.59
2014-02-28,15.4,$0.37,42.07
2013-11-30,15.45,$0.64,24.11
2013-08-31,10.9,$0.73,14.87
2013-05-31,10.88,$0.42,26.07
2013-02-28,12.39,$0.16,77.29
2012-11-30,10.54,$0.20,53.83
2012-08-31,11.44,$0.03,378.81
2012-05-31,12.04,$0.36,33.55
2012-02-29,13.02,$0.86,15.17
2011-11-30,15.12,$1.01,14.97
2011-08-31,14.4,$1.33,10.86
2011-05-31,15.7,$1.23,12.76
2011-02-28,16.82,$1.38,12.17
2010-11-30,13.97,$1.39,10.04
2010-08-31,15.22,$1.44,10.55
2010-05-31,14.77,$1.41,10.48
2010-02-28,16.26,$1.07,15.25
2009-11-30,15.55,$1.06,14.71
