Range Resources Price to Free Cash Flow Ratio Historical Data,Range Resources Price to Free Cash Flow Ratio Historical Data,Range Resources Price to Free Cash Flow Ratio Historical Data,Range Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.27,,30.94
2024-12-31,35.98,$1.30,27.65
2024-09-30,30.69,$1.33,23.12
2024-06-30,33.36,$0.93,35.69
2024-03-31,34.18,$0.88,39.0
2023-12-31,30.14,$1.55,19.49
2023-09-30,32.01,$3.26,9.83
2023-06-30,28.97,$4.84,5.98
2023-03-31,26.01,$5.75,4.52
2022-12-31,24.51,$5.59,4.39
2022-09-30,24.67,$4.49,5.49
2022-06-30,24.11,$3.26,7.39
2022-03-31,29.59,$2.75,10.77
2021-12-31,17.37,$1.50,11.57
2021-09-30,22.04,$0.58,38.08
2021-06-30,16.33,$-0.16,0.0
2021-03-31,10.06,$-0.63,0.0
2020-12-31,6.53,$-0.69,0.0
2020-09-30,6.45,$-0.78,0.0
2020-06-30,5.48,$-0.68,0.0
2020-03-31,2.22,$-0.52,0.0
2019-12-31,4.72,$-0.27,0.0
2019-09-30,3.71,$-0.06,0.0
2019-06-30,6.74,$0.32,21.17
2019-03-31,10.82,$-0.09,0.0
2018-12-31,9.2,$-0.13,0.0
2018-09-30,16.3,$-0.94,0.0
2018-06-30,16.03,$-1.53,0.0
2018-03-31,13.91,$-1.50,0.0
2017-12-31,16.3,$-1.61,0.0
2017-09-30,18.68,$-0.66,0.0
2017-06-30,22.09,$-0.51,0.0
2017-03-31,27.72,$-0.41,0.0
2016-12-31,32.71,$-0.66,0.0
2016-09-30,36.87,$-0.72,0.0
2016-06-30,41.02,$-0.94,0.0
2016-03-31,30.78,$-1.66,0.0
2015-12-31,23.38,$-2.52,0.0
2015-09-30,30.46,$-3.23,0.0
2015-06-30,46.77,$-3.51,0.0
2015-03-31,49.26,$-3.20,0.0
2014-12-31,50.55,$-2.74,0.0
2014-09-30,64.08,$-2.67,0.0
2014-06-30,82.12,$-2.66,0.0
2014-03-31,78.32,$-3.62,0.0
2013-12-31,79.55,$-3.43,0.0
2013-09-30,71.57,$-4.06,0.0
2013-06-30,72.88,$-4.60,0.0
2013-03-31,76.35,$-5.09,0.0
2012-12-31,59.16,$-6.53,0.0
2012-09-30,65.75,$-6.93,0.0
2012-06-30,58.19,$-7.66,0.0
2012-03-31,54.64,$-6.22,0.0
2011-12-31,58.18,$-5.06,0.0
2011-09-30,54.87,$-2.50,0.0
2011-06-30,52.06,$-2.47,0.0
2011-03-31,54.79,$-2.14,0.0
2010-12-31,42.12,$-1.48,0.0
2010-09-30,35.68,$-2.13,0.0
2010-06-30,37.52,$0.09,436.83
2010-03-31,43.77,$0.45,96.66
2009-12-31,46.52,$0.40,117.32
