Streamline Health Solutions Price to Free Cash Flow Ratio Historical Data,Streamline Health Solutions Price to Free Cash Flow Ratio Historical Data,Streamline Health Solutions Price to Free Cash Flow Ratio Historical Data,Streamline Health Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.15,,0.0
2024-10-31,2.23,$-0.84,0.0
2024-07-31,7.74,$-0.81,0.0
2024-04-30,4.49,$-1.30,0.0
2024-01-31,5.85,$-1.02,0.0
2023-10-31,6.47,$-1.82,0.0
2023-07-31,20.1,$-2.08,0.0
2023-04-30,26.4,$-2.27,0.0
2023-01-31,32.4,$-2.76,0.0
2022-10-31,27.0,$-2.01,0.0
2022-07-31,23.11,$-2.30,0.0
2022-04-30,22.8,$-2.19,0.0
2022-01-31,20.55,$-1.73,0.0
2021-10-31,24.6,$-2.83,0.0
2021-07-31,24.3,$-2.83,0.0
2021-04-30,31.65,$-2.64,0.0
2021-01-31,27.75,$-3.71,0.0
2020-10-31,20.85,$0.37,56.81
2020-07-31,18.6,$-0.21,0.0
2020-04-30,14.55,$-1.38,0.0
2020-01-31,16.5,$-1.71,0.0
2019-10-31,18.83,$-3.56,0.0
2019-07-31,20.25,$-3.45,0.0
2019-04-30,15.0,$-2.22,0.0
2019-01-31,18.6,$-1.23,0.0
2018-10-31,13.8,$-0.41,0.0
2018-07-31,18.75,$0.70,26.89
2018-04-30,21.6,$1.01,21.34
2018-01-31,26.7,$0.13,204.75
2017-10-31,25.5,$-0.47,0.0
2017-07-31,15.9,$-1.86,0.0
2017-04-30,21.3,$-0.20,0.0
2017-01-31,22.05,$-1.13,0.0
2016-10-31,26.25,$-1.08,0.0
2016-07-31,21.9,$3.09,7.08
2016-04-30,22.05,$2.82,7.81
2016-01-31,24.9,$4.30,5.79
2015-10-31,29.25,$2.11,13.84
2015-07-31,38.7,$1.00,38.84
2015-04-30,33.9,$-1.68,0.0
2015-01-31,60.3,$-4.73,0.0
2014-10-31,58.65,$-4.03,0.0
2014-07-31,75.0,$-3.14,0.0
2014-04-30,75.0,$-0.63,0.0
2014-01-31,90.6,$-0.60,0.0
2013-10-31,122.25,$-4.25,0.0
2013-07-31,111.75,$-8.42,0.0
2013-04-30,93.9,$-8.65,0.0
2013-01-31,81.45,$-3.47,0.0
2012-10-31,85.8,$2.57,33.43
2012-07-31,65.1,$3.54,18.41
2012-04-30,26.78,$2.95,9.09
2012-01-31,24.75,$-0.17,0.0
2011-10-31,22.5,$0.74,30.35
2011-07-31,29.85,$1.38,21.66
2011-04-30,27.6,$-0.21,0.0
2011-01-31,27.9,$0.26,108.94
2010-10-31,19.05,$-0.78,0.0
2010-07-31,18.6,$-3.37,0.0
2010-04-30,28.95,$-1.66,0.0
2010-01-31,33.15,$-3.51,0.0
2009-10-31,35.25,$-5.40,0.0
