Pangaea Logistics Solutions Price to Free Cash Flow Ratio Historical Data,Pangaea Logistics Solutions Price to Free Cash Flow Ratio Historical Data,Pangaea Logistics Solutions Price to Free Cash Flow Ratio Historical Data,Pangaea Logistics Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.48,,0.0
2024-12-31,5.36,$-0.08,0.0
2024-09-30,7.1,$0.48,14.78
2024-06-30,7.58,$1.25,6.04
2024-03-31,6.66,$0.70,9.49
2023-12-31,7.79,$0.96,8.08
2023-09-30,5.48,$0.58,9.39
2023-06-30,6.2,$0.96,6.46
2023-03-31,5.28,$2.52,2.1
2022-12-31,4.56,$2.37,1.93
2022-09-30,4.02,$1.62,2.47
2022-06-30,4.35,$0.30,14.68
2022-03-31,4.71,$-2.69,0.0
2021-12-31,3.17,$-3.01,0.0
2021-09-30,4.2,$-2.67,0.0
2021-06-30,4.14,$-1.63,0.0
2021-03-31,2.59,$0.63,4.08
2020-12-31,2.25,$0.68,3.34
2020-09-30,2.11,$1.08,1.95
2020-06-30,2.04,$0.40,5.07
2020-03-31,1.63,$-0.03,0.0
2019-12-31,2.4,$-0.05,0.0
2019-09-30,2.58,$-0.15,0.0
2019-06-30,2.66,$-0.04,0.0
2019-03-31,2.41,$0.48,5.02
2018-12-31,2.38,$0.53,4.51
2018-09-30,2.75,$0.22,12.73
2018-06-30,2.37,$0.62,3.84
2018-03-31,2.08,$0.16,12.93
2017-12-31,2.89,$-0.89,0.0
2017-09-30,1.93,$-0.98,0.0
2017-06-30,2.19,$-1.10,0.0
2017-03-31,2.68,$-0.85,0.0
2016-12-31,2.67,$0.25,10.56
2016-09-30,1.97,$-0.03,0.0
2016-06-30,1.87,$-0.03,0.0
2016-03-31,1.81,$-0.13,0.0
2015-12-31,2.08,$-1.08,0.0
2015-09-30,2.44,$-0.67,0.0
2015-06-30,2.54,$-1.82,0.0
2015-03-31,2.15,$-1.32,0.0
2014-12-31,3.74,$-0.78,0.0
2014-09-30,7.54,$-0.75,0.0
