Professional Diversity Network Price to Free Cash Flow Ratio Historical Data,Professional Diversity Network Price to Free Cash Flow Ratio Historical Data,Professional Diversity Network Price to Free Cash Flow Ratio Historical Data,Professional Diversity Network Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.51,,0.0
2024-09-30,0.44,$-1.88,0.0
2024-06-30,0.46,$-2.90,0.0
2024-03-31,1.78,$-3.14,0.0
2023-12-31,2.03,$-3.05,0.0
2023-09-30,2.56,$-3.36,0.0
2023-06-30,4.45,$-3.06,0.0
2023-03-31,4.44,$-2.92,0.0
2022-12-31,2.07,$-2.82,0.0
2022-09-30,1.55,$-2.74,0.0
2022-06-30,1.42,$-2.39,0.0
2022-03-31,2.02,$-1.94,0.0
2021-12-31,1.95,$-2.70,0.0
2021-09-30,2.52,$-3.37,0.0
2021-06-30,3.22,$-3.87,0.0
2021-03-31,4.7,$-6.15,0.0
2020-12-31,5.18,$-6.29,0.0
2020-09-30,1.92,$-8.89,0.0
2020-06-30,5.72,$-18.96,0.0
2020-03-31,1.82,$-19.17,0.0
2019-12-31,1.82,$-19.77,0.0
2019-09-30,2.82,$-14.77,0.0
2019-06-30,5.02,$-5.54,0.0
2019-03-31,6.42,$-10.21,0.0
2018-12-31,2.0,$-16.71,0.0
2018-09-30,5.7,$-16.06,0.0
2018-06-30,7.64,$-25.10,0.0
2018-03-31,5.62,$-23.18,0.0
2017-12-31,8.18,$-32.44,0.0
2017-09-30,7.64,$-70.47,0.0
2017-06-30,13.76,$-62.27,0.0
2017-03-31,19.18,$-76.91,0.0
2016-12-31,21.84,$-64.22,0.0
2016-09-30,16.38,$-56.91,0.0
2016-06-30,6.4,$-65.74,0.0
2016-03-31,5.6,$-75.28,0.0
2015-12-31,8.0,$-76.54,0.0
2015-09-30,11.84,$-131.91,0.0
2015-06-30,33.12,$-180.65,0.0
2015-03-31,77.6,$-173.29,0.0
2014-12-31,77.92,$-176.20,0.0
2014-09-30,80.8,$-114.95,0.0
2014-06-30,65.12,$-59.51,0.0
2014-03-31,55.2,$-53.21,0.0
2013-12-31,73.76,$-11.34,0.0
