Maplebear Price to Free Cash Flow Ratio Historical Data,Maplebear Price to Free Cash Flow Ratio Historical Data,Maplebear Price to Free Cash Flow Ratio Historical Data,Maplebear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.93,,18.07
2024-12-31,41.42,$2.15,19.22
2024-09-30,40.74,$2.50,16.29
2024-06-30,32.14,$5.24,6.13
