Compass Price to Free Cash Flow Ratio Historical Data,Compass Price to Free Cash Flow Ratio Historical Data,Compass Price to Free Cash Flow Ratio Historical Data,Compass Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.09,,43.08
2024-12-31,5.85,$0.21,27.73
2024-09-30,6.11,$0.07,89.2
2024-06-30,3.6,$0.03,122.87
2024-03-31,3.6,$0.06,56.6
2023-12-31,3.76,$-0.08,0.0
2023-09-30,2.9,$-0.30,0.0
2023-06-30,3.5,$-0.49,0.0
2023-03-31,3.23,$-0.66,0.0
2022-12-31,2.33,$-0.85,0.0
2022-09-30,2.32,$-0.81,0.0
2022-06-30,3.61,$-0.68,0.0
2022-03-31,7.86,$-0.56,0.0
