Precision Drilling Price to Free Cash Flow Ratio Historical Data,Precision Drilling Price to Free Cash Flow Ratio Historical Data,Precision Drilling Price to Free Cash Flow Ratio Historical Data,Precision Drilling Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.46,,3.0
2024-12-31,61.07,$15.17,4.03
2024-09-30,61.65,$12.33,5.0
2024-06-30,70.34,$14.61,4.82
2024-03-31,67.29,$16.02,4.2
2023-12-31,54.29,$14.51,3.74
2023-09-30,67.12,$17.18,3.91
2023-06-30,48.75,$13.02,3.74
2023-03-31,51.42,$10.17,5.05
2022-12-31,76.7,$5.11,15.0
2022-09-30,50.63,$1.23,41.3
2022-06-30,64.02,$2.66,24.08
2022-03-31,73.92,$-1.82,0.0
2021-12-31,35.43,$4.58,7.74
2021-09-30,40.41,$1.70,23.8
2021-06-30,41.7,$4.09,10.19
2021-03-31,21.61,$6.97,3.1
2020-12-31,16.49,$10.10,1.63
2020-09-30,12.8,$13.67,0.94
2020-06-30,15.18,$13.42,1.13
2020-03-31,6.27,$13.48,0.47
2019-12-31,28.0,$11.11,2.52
2019-09-30,22.8,$12.38,1.84
2019-06-30,37.8,$10.18,3.71
2019-03-31,47.8,$10.91,4.38
2018-12-31,34.8,$10.68,3.26
2018-09-30,69.2,$7.96,8.69
2018-06-30,66.4,$9.72,6.83
2018-03-31,55.4,$3.39,16.35
2017-12-31,60.4,$2.98,20.29
2017-09-30,62.4,$-1.99,0.0
2017-06-30,68.2,$-7.19,0.0
2017-03-31,94.4,$-7.36,0.0
2016-12-31,109.0,$-3.77,0.0
2016-09-30,83.6,$0.31,267.01
2016-06-30,106.0,$4.14,25.62
2016-03-31,84.0,$8.57,9.8
2015-12-31,78.8,$3.64,21.63
2015-09-30,73.46,$-3.10,0.0
2015-06-30,131.41,$-10.52,0.0
2015-03-31,122.97,$-9.68,0.0
2014-12-31,116.5,$-4.62,0.0
2014-09-30,205.83,$-0.05,0.0
2014-06-30,268.89,$3.09,87.05
2014-03-31,226.32,$2.69,84.17
2013-12-31,176.28,$-6.34,0.0
2013-09-30,185.62,$-6.66,0.0
2013-06-30,158.5,$-15.36,0.0
2013-03-31,170.04,$-14.77,0.0
2012-12-31,151.63,$-14.10,0.0
2012-09-30,142.7,$-18.96,0.0
2012-06-30,124.14,$-20.74,0.0
2012-03-31,182.56,$-20.16,0.0
2011-12-31,186.75,$-12.48,0.0
2011-09-30,150.89,$-7.76,0.0
2011-06-30,261.38,$8.20,31.89
2011-03-31,246.45,$12.46,19.78
2010-12-31,176.38,$9.63,18.31
2010-09-30,124.68,$15.69,7.95
2010-06-30,120.86,$13.22,9.14
2010-03-31,139.61,$10.71,13.04
2009-12-31,131.96,$20.90,6.31
