Build-A-Bear Workshop Price to Free Cash Flow Ratio Historical Data,Build-A-Bear Workshop Price to Free Cash Flow Ratio Historical Data,Build-A-Bear Workshop Price to Free Cash Flow Ratio Historical Data,Build-A-Bear Workshop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.1,,12.28
2024-10-31,37.89,$3.02,12.55
2024-07-31,26.81,$1.90,14.11
2024-04-30,29.58,$2.70,10.97
2024-01-31,21.95,$3.18,6.9
2023-10-31,24.16,$3.40,7.11
2023-07-31,23.92,$3.81,6.28
2023-04-30,22.6,$3.04,7.43
2023-01-31,22.5,$2.21,10.2
2022-10-31,16.11,$0.77,21.03
2022-07-31,14.63,$0.36,40.53
2022-04-30,17.35,$0.72,24.23
2022-01-31,16.34,$1.24,13.21
2021-10-31,13.57,$1.40,9.71
2021-07-31,13.15,$1.70,7.73
2021-04-30,6.96,$1.65,4.21
2021-01-31,4.85,$0.56,8.69
2020-10-31,3.57,$1.35,2.64
2020-07-31,2.04,$0.77,2.65
2020-04-30,2.2,$0.08,26.51
2020-01-31,3.62,$0.63,5.79
2019-10-31,3.01,$0.32,9.39
2019-07-31,3.69,$-0.40,0.0
2019-04-30,4.85,$0.18,26.58
2019-01-31,4.09,$-0.11,0.0
2018-10-31,7.41,$-1.49,0.0
2018-07-31,7.01,$0.92,7.64
2018-04-30,7.87,$1.07,7.36
2018-01-31,7.44,$0.86,8.61
2017-12-31,7.96,$1.43,5.58
2017-10-31,6.75,$-1.12,0.0
2017-09-30,7.92,$-1.23,0.0
2017-07-31,8.31,$-0.68,0.0
2017-06-30,9.04,$0.34,26.76
2017-04-30,9.0,$1.88,4.79
2017-03-31,7.66,$0.36,21.23
2016-12-31,11.9,$-0.72,0.0
2016-09-30,8.96,$-0.62,0.0
2016-06-30,11.61,$-0.80,0.0
2016-03-31,11.24,$0.12,94.78
2015-12-31,10.59,$0.57,18.65
2015-09-30,16.35,$0.63,26.02
2015-06-30,13.84,$0.82,16.89
2015-03-31,17.0,$1.16,14.65
2014-12-31,17.39,$1.41,12.37
2014-09-30,11.32,$1.82,6.21
2014-06-30,11.56,$0.78,14.81
2014-03-31,8.33,$0.03,283.44
2013-12-31,6.53,$0.00,0.0
2013-09-30,6.04,$-0.23,0.0
2013-06-30,5.25,$0.40,13.17
2013-03-31,4.66,$0.62,7.54
2012-12-31,3.31,$-0.01,0.0
2012-09-30,3.37,$-0.05,0.0
2012-06-30,4.14,$-0.04,0.0
2012-03-31,4.54,$0.15,31.01
2011-12-31,7.32,$0.30,24.46
2011-09-30,4.41,$0.57,7.72
2011-06-30,5.63,$0.66,8.57
2011-03-31,5.24,$-0.03,0.0
2010-12-31,6.61,$0.43,15.54
2010-09-30,5.24,$0.31,16.72
2010-06-30,5.87,$0.38,15.25
2010-03-31,6.16,$1.43,4.32
2009-12-31,4.23,$0.97,4.37
