Quanterix Price to Free Cash Flow Ratio Historical Data,Quanterix Price to Free Cash Flow Ratio Historical Data,Quanterix Price to Free Cash Flow Ratio Historical Data,Quanterix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.24,,0.0
2024-09-30,12.96,$-1.10,0.0
2024-06-30,13.21,$-1.05,0.0
2024-03-31,23.56,$-0.88,0.0
2023-12-31,27.34,$-0.60,0.0
2023-09-30,27.14,$-0.55,0.0
2023-06-30,22.55,$-0.91,0.0
2023-03-31,11.27,$-1.27,0.0
2022-12-31,13.85,$-1.63,0.0
2022-09-30,11.02,$-1.83,0.0
2022-06-30,16.19,$-1.82,0.0
2022-03-31,29.19,$-1.92,0.0
2021-12-31,42.4,$-1.70,0.0
2021-09-30,49.79,$-1.30,0.0
2021-06-30,58.66,$-1.00,0.0
2021-03-31,58.47,$-0.85,0.0
2020-12-31,46.5,$-0.92,0.0
2020-09-30,33.74,$-1.24,0.0
2020-06-30,27.39,$-1.28,0.0
2020-03-31,18.37,$-1.46,0.0
2019-12-31,23.63,$-1.48,0.0
2019-09-30,21.96,$-1.58,0.0
2019-06-30,33.79,$-1.68,0.0
2019-03-31,25.83,$-1.39,0.0
2018-12-31,18.31,$-1.37,0.0
2018-09-30,21.42,$-4.00,0.0
