Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,210.25,,29.19
2024-12-31,229.55,$7.20,31.87
2024-09-30,278.02,$6.84,40.63
2024-06-30,249.61,$6.87,36.36
2024-03-31,249.21,$7.45,33.45
2023-12-31,230.61,$7.80,29.58
2023-09-30,246.76,$9.22,26.76
2023-06-30,238.7,$9.80,24.37
2023-03-31,250.39,$10.00,25.04
2022-12-31,263.4,$10.05,26.2
2022-09-30,256.09,$9.58,26.74
2022-06-30,251.12,$9.66,26.01
2022-03-31,290.26,$9.79,29.65
2021-12-31,325.29,$9.68,33.61
2021-09-30,300.8,$9.79,30.72
2021-06-30,264.97,$9.47,27.97
2021-03-31,222.06,$8.79,25.26
2020-12-31,218.95,$7.54,29.04
2020-09-30,212.07,$6.15,34.47
2020-06-30,174.0,$5.15,33.76
2020-03-31,136.05,$4.77,28.5
2019-12-31,150.67,$4.59,32.84
2019-09-30,141.63,$4.84,29.29
2019-06-30,139.98,$4.82,29.06
2019-03-31,129.15,$4.66,27.72
2018-12-31,100.75,$4.85,20.78
2018-09-30,105.99,$4.30,24.63
2018-06-30,96.12,$4.55,21.13
2018-03-31,95.21,$4.57,20.84
2017-12-31,90.11,$4.16,21.64
2017-09-30,83.15,$3.86,21.55
2017-06-30,81.67,$3.48,23.45
2017-03-31,82.64,$3.84,21.51
2016-12-31,75.09,$4.20,17.86
2016-09-30,75.49,$5.06,14.93
2016-06-30,73.62,$5.39,13.67
2016-03-31,69.04,$5.09,13.55
2015-12-31,67.48,$4.73,14.27
2015-09-30,61.82,$4.82,12.83
2015-06-30,62.0,$4.77,12.99
2015-03-31,61.4,$4.62,13.28
2014-12-31,61.89,$4.59,13.49
2014-09-30,54.8,$4.24,12.91
2014-06-30,56.71,$4.17,13.59
2014-03-31,53.95,$4.07,13.27
2013-12-31,55.46,$4.27,12.99
2013-09-30,49.78,$3.92,12.7
2013-06-30,45.44,$3.96,11.48
2013-03-31,44.6,$4.14,10.77
2012-12-31,40.1,$4.15,9.67
2012-09-30,39.54,$4.22,9.37
2012-06-30,37.32,$3.83,9.75
2012-03-31,40.11,$3.44,11.67
2011-12-31,33.68,$3.27,10.3
2011-09-30,30.01,$3.01,9.97
2011-06-30,37.9,$2.97,12.75
2011-03-31,37.1,$2.82,13.16
2010-12-31,33.71,$2.77,12.16
2010-09-30,29.01,$2.66,10.9
2010-06-30,26.5,$2.59,10.24
2010-03-31,28.51,$2.53,11.26
2009-12-31,26.82,$2.43,11.05
