KBR Price to Free Cash Flow Ratio Historical Data,KBR Price to Free Cash Flow Ratio Historical Data,KBR Price to Free Cash Flow Ratio Historical Data,KBR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.04,,17.11
2024-12-31,57.93,$2.93,19.8
2024-09-30,64.96,$3.28,19.81
2024-06-30,63.82,$1.74,36.71
2024-03-31,63.19,$2.29,27.61
2023-12-31,54.87,$1.86,29.51
2023-09-30,58.22,$1.49,39.11
2023-06-30,64.12,$2.60,24.64
2023-03-31,54.14,$1.77,30.64
2022-12-31,51.8,$2.38,21.72
2022-09-30,42.3,$2.42,17.45
2022-06-30,47.25,$2.73,17.33
2022-03-31,53.3,$2.51,21.25
2021-12-31,46.28,$2.07,22.35
2021-09-30,38.19,$2.71,14.1
2021-06-30,36.88,$2.39,15.4
2021-03-31,36.9,$2.46,15.0
2020-12-31,29.73,$2.45,12.13
2020-09-30,21.41,$2.01,10.63
2020-06-30,21.51,$2.19,9.84
2020-03-31,19.65,$1.67,11.74
2019-12-31,28.82,$1.73,16.7
2019-09-30,23.12,$2.46,9.41
2019-06-30,23.43,$2.13,11.01
2019-03-31,17.87,$2.55,7.02
2018-12-31,14.15,$1.23,11.53
2018-09-30,19.6,$-0.19,0.0
2018-06-30,16.56,$-0.46,0.0
2018-03-31,14.89,$1.14,13.01
2017-12-31,18.15,$1.31,13.84
2017-09-30,16.3,$2.00,8.17
2017-06-30,13.81,$1.92,7.2
2017-03-31,13.56,$-0.30,0.0
2016-12-31,14.98,$0.35,42.54
2016-09-30,13.52,$0.42,31.9
2016-06-30,11.76,$0.97,12.12
2016-03-31,13.68,$0.84,16.29
2015-12-31,14.87,$0.26,57.89
2015-09-30,14.58,$-0.32,0.0
2015-06-30,16.96,$0.06,262.17
2015-03-31,12.56,$0.27,46.7
2014-12-31,14.62,$0.80,18.25
2014-09-30,16.16,$2.28,7.09
2014-06-30,20.39,$2.30,8.87
2014-03-31,22.75,$2.01,11.29
2013-12-31,27.11,$1.47,18.44
2013-09-30,27.67,$1.90,14.57
2013-06-30,27.49,$0.97,28.43
2013-03-31,27.07,$1.36,19.84
2012-12-31,25.18,$1.30,19.34
2012-09-30,25.05,$1.69,14.82
2012-06-30,20.72,$2.01,10.33
2012-03-31,29.76,$1.62,18.36
2011-12-31,23.3,$3.76,6.2
2011-09-30,19.71,$1.49,13.25
2011-06-30,31.39,$1.67,18.81
2011-03-31,31.41,$4.50,6.97
2010-12-31,25.3,$3.08,8.22
2010-09-30,20.43,$3.04,6.71
2010-06-30,16.83,$2.24,7.53
2010-03-31,18.29,$0.51,35.96
2009-12-31,15.65,$-0.48,0.0
