CBL & Associates Properties Price to Free Cash Flow Ratio Historical Data,CBL & Associates Properties Price to Free Cash Flow Ratio Historical Data,CBL & Associates Properties Price to Free Cash Flow Ratio Historical Data,CBL & Associates Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.02,,3.41
2024-12-31,29.41,$7.93,3.71
2024-09-30,25.2,$7.68,3.28
2024-06-30,23.38,$5.32,4.39
2024-03-31,22.91,$4.79,4.79
2023-12-31,24.42,$4.81,5.08
2023-09-30,20.98,$5.34,3.93
2023-06-30,22.04,$5.64,3.91
2023-03-31,25.64,$5.44,4.71
2022-12-31,23.08,$5.76,4.01
2022-09-30,25.61,$12.20,2.1
2022-06-30,23.07,$10.59,2.18
2022-03-31,32.3,$9.42,3.43
2021-12-31,30.64,$8.20,3.74
2020-09-30,0.16,$0.12,1.39
2020-06-30,0.27,$0.75,0.36
2020-03-31,0.2,$1.28,0.16
2019-12-31,1.05,$1.56,0.67
2019-09-30,1.29,$2.01,0.64
2019-06-30,1.04,$1.95,0.53
2019-03-31,1.55,$1.85,0.84
2018-12-31,1.83,$1.88,0.97
2018-09-30,3.67,$2.10,1.75
2018-06-30,4.88,$1.95,2.5
2018-03-31,3.53,$3.00,1.18
2017-12-31,4.58,$2.52,1.82
2017-09-30,6.56,$1.81,3.63
