Valhi Price to Free Cash Flow Ratio Historical Data,Valhi Price to Free Cash Flow Ratio Historical Data,Valhi Price to Free Cash Flow Ratio Historical Data,Valhi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.07,,27.54
2024-12-31,23.39,$0.66,35.65
2024-09-30,33.27,$1.37,24.25
2024-06-30,17.72,$2.13,8.31
2024-03-31,17.01,$1.65,10.34
2023-12-31,14.96,$-1.50,0.0
2023-09-30,12.98,$-4.11,0.0
2023-06-30,12.5,$-5.44,0.0
2023-03-31,16.84,$-4.81,0.0
2022-12-31,21.19,$-1.15,0.0
2022-09-30,24.15,$8.00,3.02
2022-06-30,43.41,$12.35,3.52
2022-03-31,28.02,$11.75,2.38
2021-12-31,27.4,$14.70,1.86
2021-09-30,22.17,$8.91,2.49
2021-06-30,23.04,$5.89,3.91
2021-03-31,19.37,$5.82,3.32
2020-12-31,14.3,$3.04,4.7
2020-09-30,12.31,$1.69,7.3
2020-06-30,9.75,$3.44,2.84
2020-03-31,11.42,$3.74,3.05
2019-12-31,20.4,$4.28,4.77
2019-09-30,20.51,$1.11,18.51
2019-06-30,31.73,$-0.83,0.0
2019-03-31,24.44,$1.90,12.83
2018-12-31,20.32,$4.34,4.69
2018-09-30,23.78,$7.07,3.36
2018-06-30,49.34,$9.88,5.0
2018-03-31,62.61,$7.56,8.28
2017-12-31,63.55,$6.60,9.63
2017-09-30,24.96,$6.26,3.99
2017-06-30,30.33,$4.02,7.55
2017-03-31,33.19,$3.27,10.14
2016-12-31,34.79,$0.73,47.42
2016-09-30,22.97,$-0.99,0.0
2016-06-30,15.56,$-1.39,0.0
2016-03-31,11.59,$-1.35,0.0
2015-12-31,12.99,$-1.14,0.0
2015-09-30,18.12,$0.89,20.32
2015-06-30,53.83,$-0.06,0.0
2015-03-31,59.06,$-0.81,0.0
2014-12-31,60.57,$-0.19,0.0
2014-09-30,61.5,$0.51,121.68
2014-06-30,60.31,$2.24,26.93
2014-03-31,82.56,$2.50,32.99
2013-12-31,163.81,$1.49,109.81
2013-09-30,185.34,$-0.46,0.0
2013-06-30,127.26,$1.67,76.16
2013-03-31,148.18,$2.37,62.45
2012-12-31,115.07,$-0.94,0.0
2012-09-30,111.84,$-0.11,0.0
2012-06-30,114.03,$0.40,286.08
2012-03-31,160.86,$0.65,246.12
2011-12-31,182.91,$5.13,35.65
2011-09-30,163.51,$6.09,26.84
2011-06-30,149.6,$4.00,37.38
2011-03-31,79.19,$2.87,27.63
2010-12-31,66.11,$2.71,24.37
2010-09-30,60.44,$1.80,33.59
2010-06-30,36.53,$-0.13,0.0
2010-03-31,57.87,$1.49,38.89
2009-12-31,40.86,$1.06,38.52
