Natural Alternatives Price to Free Cash Flow Ratio Historical Data,Natural Alternatives Price to Free Cash Flow Ratio Historical Data,Natural Alternatives Price to Free Cash Flow Ratio Historical Data,Natural Alternatives Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.61,,0.0
2024-12-31,4.31,$-2.11,0.0
2024-09-30,5.73,$-1.95,0.0
2024-06-30,6.02,$-0.77,0.0
2024-03-31,6.09,$1.12,5.43
2023-12-31,6.53,$0.78,8.39
2023-09-30,6.49,$1.53,4.25
2023-06-30,7.2,$-1.10,0.0
2023-03-31,9.22,$-1.69,0.0
2022-12-31,8.39,$-0.48,0.0
2022-09-30,9.27,$-0.97,0.0
2022-06-30,10.44,$-2.37,0.0
2022-03-31,11.52,$-2.42,0.0
2021-12-31,12.65,$-1.01,0.0
2021-09-30,13.5,$-0.80,0.0
2021-06-30,16.83,$2.47,6.81
2021-03-31,15.36,$1.47,10.46
2020-12-31,10.59,$-0.33,0.0
2020-09-30,7.55,$-0.83,0.0
2020-06-30,6.84,$-0.12,0.0
2020-03-31,6.3,$-0.02,0.0
2019-12-31,7.98,$-0.15,0.0
2019-09-30,8.35,$0.10,79.75
2019-06-30,11.66,$0.18,65.88
2019-03-31,11.5,$-0.11,0.0
2018-12-31,9.83,$0.08,124.75
2018-09-30,9.8,$0.05,204.59
2018-06-30,10.15,$-0.32,0.0
2018-03-31,11.0,$1.04,10.55
2017-12-31,10.3,$1.46,7.05
2017-09-30,10.8,$1.80,6.01
2017-06-30,9.95,$1.32,7.52
2017-03-31,8.8,$1.06,8.31
2016-12-31,11.3,$-0.11,0.0
2016-09-30,13.14,$0.29,44.8
2016-06-30,11.04,$0.28,39.76
2016-03-31,13.53,$-0.22,0.0
2015-12-31,10.34,$0.65,15.91
2015-09-30,6.29,$0.32,19.71
2015-06-30,5.67,$0.16,36.38
2015-03-31,5.48,$0.76,7.24
2014-12-31,5.35,$0.61,8.78
2014-09-30,6.48,$0.24,26.55
2014-06-30,5.28,$0.42,12.6
2014-03-31,5.43,$0.11,51.03
2013-12-31,5.58,$-0.06,0.0
2013-09-30,5.75,$0.13,43.27
2013-06-30,4.61,$0.42,11.0
2013-03-31,4.84,$0.62,7.84
2012-12-31,5.02,$0.94,5.31
2012-09-30,6.15,$0.18,33.59
2012-06-30,7.66,$-0.08,0.0
