Steven Madden Price to Free Cash Flow Ratio Historical Data,Steven Madden Price to Free Cash Flow Ratio Historical Data,Steven Madden Price to Free Cash Flow Ratio Historical Data,Steven Madden Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.0,,10.87
2024-12-31,42.52,$2.39,17.77
2024-09-30,48.76,$3.04,16.06
2024-06-30,41.9,$2.99,14.0
2024-03-31,41.69,$2.77,15.06
2023-12-31,41.21,$2.81,14.65
2023-09-30,31.02,$3.35,9.25
2023-06-30,31.7,$3.77,8.41
2023-03-31,34.7,$3.29,10.56
2022-12-31,30.62,$3.22,9.5
2022-09-30,25.39,$1.48,17.18
2022-06-30,30.44,$1.23,24.72
2022-03-31,36.3,$1.54,23.55
2021-12-31,43.43,$1.87,23.19
2021-09-30,37.41,$1.67,22.44
2021-06-30,40.61,$0.88,45.99
2021-03-31,34.46,$1.06,32.36
2020-12-31,32.54,$0.48,67.97
2020-09-30,17.96,$1.62,11.06
2020-06-30,22.75,$2.62,8.68
2020-03-31,21.4,$2.26,9.47
2019-12-31,39.35,$2.58,15.28
2019-09-30,32.63,$2.10,15.57
2019-06-30,30.83,$1.83,16.88
2019-03-31,30.6,$1.77,17.27
2018-12-31,27.25,$1.65,16.53
2018-09-30,21.07,$1.82,11.55
2018-06-30,21.07,$1.63,12.95
2018-03-31,17.36,$1.24,14.0
2017-12-31,18.38,$1.65,11.14
2017-09-30,17.05,$1.13,15.08
2017-06-30,15.73,$1.47,10.73
2017-03-31,15.18,$1.48,10.25
2016-12-31,14.07,$1.54,9.13
2016-09-30,13.6,$1.55,8.77
2016-06-30,13.46,$1.34,10.06
2016-03-31,14.58,$1.46,10.01
2015-12-31,11.9,$1.27,9.36
2015-09-30,14.42,$1.15,12.48
2015-06-30,16.84,$1.27,13.22
2015-03-31,14.96,$1.16,12.88
2014-12-31,12.53,$1.40,8.93
2014-09-30,12.69,$1.58,8.05
2014-06-30,13.5,$1.42,9.49
2014-03-31,14.16,$1.30,10.9
2013-12-31,14.4,$1.34,10.72
2013-09-30,14.13,$1.66,8.49
2013-06-30,12.7,$1.43,8.9
2013-03-31,11.34,$1.35,8.38
2012-12-31,11.09,$1.24,8.95
2012-09-30,11.47,$0.65,17.58
2012-06-30,8.33,$0.80,10.39
2012-03-31,11.22,$0.77,14.53
2011-12-31,9.05,$0.61,14.81
2011-09-30,7.9,$0.40,19.6
2011-06-30,9.84,$0.83,11.83
2011-03-31,8.21,$0.69,11.94
2010-12-31,7.3,$0.87,8.35
2010-09-30,7.18,$0.71,10.07
2010-06-30,5.51,$0.64,8.56
2010-03-31,5.69,$0.76,7.5
2009-12-31,4.81,$0.66,7.32
