Socket Mobile Price to Free Cash Flow Ratio Historical Data,Socket Mobile Price to Free Cash Flow Ratio Historical Data,Socket Mobile Price to Free Cash Flow Ratio Historical Data,Socket Mobile Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.15,,0.0
2024-09-30,1.15,$-0.15,0.0
2024-06-30,1.08,$-0.17,0.0
2024-03-31,1.02,$-0.26,0.0
2023-12-31,1.16,$-0.29,0.0
2023-09-30,1.14,$-0.31,0.0
2023-06-30,1.44,$-0.40,0.0
2023-03-31,1.87,$-0.15,0.0
2022-12-31,1.93,$-0.17,0.0
2022-09-30,2.12,$-0.04,0.0
2022-06-30,3.04,$0.15,20.07
2022-03-31,4.01,$0.07,57.86
2021-12-31,4.08,$0.16,25.06
2021-09-30,6.3,$0.11,56.35
2021-06-30,6.15,$0.06,97.93
2021-03-31,8.59,$0.10,89.39
2020-12-31,2.38,$0.04,53.6
2020-09-30,1.27,$0.03,36.81
2020-06-30,1.55,$0.09,16.6
2020-03-31,1.08,$0.09,11.79
2019-12-31,1.61,$0.04,36.93
2019-09-30,2.35,$0.03,88.01
2019-06-30,2.27,$-0.02,0.0
2019-03-31,2.0,$0.05,37.74
2018-12-31,1.5,$0.05,27.99
2018-09-30,2.3,$0.14,16.81
2018-06-30,2.45,$0.22,10.95
2018-03-31,3.23,$0.18,18.27
2017-12-31,3.58,$0.28,12.83
2017-09-30,3.79,$0.20,18.77
2017-06-30,4.07,$0.12,35.3
2017-03-31,4.29,$0.10,41.01
