Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.42,,16.97
2024-12-31,57.44,$3.56,16.14
2024-09-30,59.1,$4.10,14.43
2024-06-30,56.27,$2.88,19.57
2024-03-31,57.84,$2.06,28.04
2023-12-31,52.46,$1.52,34.44
2023-09-30,48.77,$-0.66,0.0
2023-06-30,48.86,$0.16,301.22
2023-03-31,56.25,$0.01,4229.42
2022-12-31,58.56,$-0.12,0.0
2022-09-30,61.57,$2.20,27.94
2022-06-30,79.88,$3.86,20.67
2022-03-31,82.77,$6.07,13.63
2021-12-31,80.09,$7.01,11.42
2021-09-30,72.12,$7.21,10.01
2021-06-30,67.01,$7.29,9.19
2021-03-31,67.12,$7.76,8.65
2020-12-31,57.83,$8.75,6.61
2020-09-30,53.02,$7.33,7.23
2020-06-30,52.87,$6.84,7.73
2020-03-31,50.89,$4.40,11.58
2019-12-31,79.58,$3.51,22.68
2019-09-30,74.95,$3.43,21.88
2019-06-30,69.97,$3.50,19.97
2019-03-31,59.87,$3.98,15.03
2018-12-31,45.77,$4.04,11.32
2018-09-30,51.03,$4.78,10.68
2018-06-30,58.73,$5.14,11.42
2018-03-31,62.16,$4.31,14.42
2017-12-31,68.57,$3.87,17.73
2017-09-30,59.43,$4.14,14.37
2017-06-30,52.64,$3.48,15.11
2017-03-31,51.67,$4.67,11.07
2016-12-31,51.46,$5.42,9.5
2016-09-30,62.06,$5.18,11.98
2016-06-30,55.4,$5.15,10.75
2016-03-31,55.16,$5.16,10.68
2015-12-31,44.03,$5.03,8.76
2015-09-30,35.48,$4.16,8.54
2015-06-30,35.01,$3.70,9.45
2015-03-31,31.38,$2.48,12.67
2014-12-31,32.77,$2.27,14.42
2014-09-30,32.1,$1.50,21.4
2014-06-30,30.55,$1.42,21.55
2014-03-31,35.75,$2.15,16.67
2013-12-31,27.13,$2.59,10.46
2013-09-30,22.87,$2.06,11.1
2013-06-30,20.73,$1.77,11.71
2013-03-31,20.0,$0.88,22.61
2012-12-31,15.6,$1.02,15.3
2012-09-30,12.78,$1.34,9.51
2012-06-30,14.98,$1.01,14.89
2012-03-31,15.21,$1.66,9.17
2011-12-31,16.36,$0.91,17.91
2011-09-30,13.73,$1.06,12.95
2011-06-30,15.32,$1.12,13.73
2011-03-31,15.11,$1.44,10.51
2010-12-31,13.53,$1.74,7.78
2010-09-30,12.55,$2.33,5.39
2010-06-30,12.81,$2.22,5.78
2010-03-31,14.94,$1.52,9.85
2009-12-31,9.55,$2.74,3.48
