Simulations Plus Price to Free Cash Flow Ratio Historical Data,Simulations Plus Price to Free Cash Flow Ratio Historical Data,Simulations Plus Price to Free Cash Flow Ratio Historical Data,Simulations Plus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.68,,60.74
2024-11-30,31.77,$0.41,78.19
2024-08-31,36.25,$0.47,76.98
2024-05-31,48.17,$2.73,17.62
2024-02-29,41.38,$0.67,61.37
2023-11-30,39.03,$0.68,57.68
2023-08-31,44.22,$0.89,49.77
2023-05-31,43.87,$1.12,39.12
2023-02-28,37.71,$0.88,42.72
2022-11-30,40.18,$0.74,53.99
2022-08-31,59.35,$0.67,88.4
2022-05-31,46.88,$0.67,69.87
2022-02-28,38.85,$0.68,57.41
2021-11-30,46.25,$0.60,77.23
2021-08-31,43.56,$0.71,61.77
2021-05-31,51.83,$0.59,88.24
2021-02-28,70.37,$0.53,133.91
2020-11-30,54.87,$0.55,100.44
2020-08-31,58.36,$0.45,129.92
2020-05-31,49.59,$0.43,114.1
2020-02-29,31.82,$0.42,75.71
2019-11-30,32.6,$0.53,61.69
2019-08-31,35.16,$0.54,65.25
2019-05-31,24.37,$0.50,48.89
2019-02-28,19.89,$0.49,40.47
2018-11-30,19.16,$0.40,48.18
2018-08-31,20.09,$0.39,51.57
2018-05-31,18.44,$0.32,57.8
2018-02-28,14.89,$0.40,36.81
2017-11-30,14.83,$0.33,45.55
2017-08-31,13.78,$0.30,45.39
2017-05-31,11.56,$0.34,33.6
2017-02-28,9.11,$0.30,30.75
2016-11-30,8.87,$0.37,23.72
2016-08-31,8.05,$0.24,33.13
2016-05-31,7.09,$0.28,24.89
2016-02-29,8.83,$0.29,30.38
2015-11-30,8.2,$0.32,26.0
2015-08-31,6.16,$0.35,17.8
2015-05-31,5.35,$0.27,19.6
2015-02-28,5.71,$0.25,23.29
2014-11-30,5.67,$0.17,32.59
2014-08-31,5.94,$0.24,24.93
2014-05-31,5.3,$0.18,29.82
2014-02-28,4.96,$0.14,35.45
2013-11-30,4.33,$0.18,24.63
2013-08-31,4.09,$0.08,48.39
2013-05-31,3.74,$0.09,43.29
2013-02-28,3.4,$0.11,30.68
2012-11-30,3.72,$0.11,35.46
2012-08-31,3.61,$0.29,12.43
2012-05-31,3.17,$0.23,13.68
2012-02-29,3.17,$0.24,13.26
2011-11-30,2.41,$0.26,9.43
2011-08-31,2.52,$0.13,19.32
2011-05-31,2.27,$0.15,14.72
2011-02-28,2.57,$0.11,23.92
2010-11-30,2.32,$0.10,22.19
2010-08-31,1.92,$0.12,16.04
2010-05-31,1.88,$0.18,10.46
2010-02-28,1.31,$0.15,8.74
2009-11-30,1.1,$0.18,6.31
