Exp World Holdings Price to Free Cash Flow Ratio Historical Data,Exp World Holdings Price to Free Cash Flow Ratio Historical Data,Exp World Holdings Price to Free Cash Flow Ratio Historical Data,Exp World Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.86,,8.54
2024-12-31,11.51,$1.15,9.97
2024-09-30,14.03,$1.33,10.55
2024-06-30,11.19,$1.15,9.71
2024-03-31,10.21,$1.31,7.76
2023-12-31,15.27,$1.28,11.9
2023-09-30,15.92,$1.20,13.22
2023-06-30,19.83,$1.15,17.21
2023-03-31,12.37,$0.88,14.1
2022-12-31,10.76,$1.21,8.91
2022-09-30,10.84,$1.34,8.08
2022-06-30,11.36,$1.44,7.86
2022-03-31,20.37,$1.66,12.25
2021-12-31,32.37,$1.46,22.1
2021-09-30,38.17,$1.31,29.05
2021-06-30,37.18,$1.41,26.46
2021-03-31,43.68,$1.05,41.63
2020-12-31,30.27,$0.68,44.66
2020-09-30,19.34,$0.68,28.6
2020-06-30,8.18,$0.51,15.93
2020-03-31,4.06,$0.46,8.8
2019-12-31,5.43,$0.40,13.67
2019-09-30,4.02,$0.27,14.77
2019-06-30,5.34,$0.22,24.62
2019-03-31,5.21,$0.18,28.66
