Clearmind Medicine Price to Free Cash Flow Ratio Historical Data,Clearmind Medicine Price to Free Cash Flow Ratio Historical Data,Clearmind Medicine Price to Free Cash Flow Ratio Historical Data,Clearmind Medicine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.17,,0.0
2025-01-31,1.38,$-0.89,0.0
2024-10-31,1.39,$-1.57,0.0
2024-07-31,1.66,$-8.78,0.0
2024-04-30,1.19,$1.37,0.87
2024-01-31,1.43,$8.36,0.17
2023-10-31,0.12,$-31.20,0.0
