Toro Price to Free Cash Flow Ratio Historical Data,Toro Price to Free Cash Flow Ratio Historical Data,Toro Price to Free Cash Flow Ratio Historical Data,Toro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.38,,0.9
2024-09-30,3.44,$2.66,1.3
2024-06-30,4.0,$5.47,0.73
2024-03-31,5.37,$4.18,1.29
