Fuel Tech Price to Free Cash Flow Ratio Historical Data,Fuel Tech Price to Free Cash Flow Ratio Historical Data,Fuel Tech Price to Free Cash Flow Ratio Historical Data,Fuel Tech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.98,,0.0
2024-12-31,1.05,$-0.12,0.0
2024-09-30,1.05,$-0.07,0.0
2024-06-30,1.07,$-0.08,0.0
2024-03-31,1.21,$-0.06,0.0
2023-12-31,1.05,$0.01,0.0
2023-09-30,1.18,$-0.05,0.0
2023-06-30,1.33,$-0.03,0.0
2023-03-31,1.28,$-0.05,0.0
2022-12-31,1.28,$-0.14,0.0
2022-09-30,1.17,$-0.07,0.0
2022-06-30,1.24,$-0.09,0.0
2022-03-31,1.45,$-0.03,0.0
2021-12-31,1.4,$0.02,61.4
2021-09-30,1.74,$0.02,90.63
2021-06-30,2.35,$0.02,100.43
2021-03-31,3.14,$-0.05,0.0
2020-12-31,3.88,$-0.12,0.0
2020-09-30,0.84,$-0.19,0.0
2020-06-30,0.84,$-0.17,0.0
2020-03-31,0.4,$-0.03,0.0
2019-12-31,0.95,$-0.16,0.0
2019-09-30,0.99,$0.19,5.19
2019-06-30,1.4,$0.20,6.9
2019-03-31,1.67,$0.08,21.66
2018-12-31,1.19,$0.18,6.6
2018-09-30,1.3,$-0.04,0.0
2018-06-30,1.08,$-0.09,0.0
2018-03-31,1.2,$-0.21,0.0
2017-12-31,1.12,$-0.17,0.0
2017-09-30,1.02,$-0.30,0.0
2017-06-30,0.79,$-0.28,0.0
2017-03-31,1.02,$0.01,70.83
2016-12-31,1.15,$-0.16,0.0
2016-09-30,1.4,$0.22,6.31
2016-06-30,1.48,$0.23,6.4
2016-03-31,1.75,$-0.02,0.0
2015-12-31,1.89,$0.27,7.1
2015-09-30,1.91,$0.08,24.09
2015-06-30,2.19,$0.18,12.2
2015-03-31,3.13,$0.25,12.6
2014-12-31,3.83,$0.12,33.22
2014-09-30,4.25,$0.12,36.89
2014-06-30,5.64,$-0.01,0.0
2014-03-31,5.0,$0.36,13.98
2013-12-31,7.09,$0.05,147.1
2013-09-30,4.36,$-0.03,0.0
2013-06-30,3.83,$0.03,113.99
2013-03-31,4.32,$-0.34,0.0
2012-12-31,4.2,$0.26,16.12
2012-09-30,4.17,$0.24,17.49
2012-06-30,4.88,$0.26,18.68
2012-03-31,5.46,$0.41,13.48
2011-12-31,6.58,$0.10,66.13
2011-09-30,5.82,$0.32,17.98
2011-06-30,6.63,$0.37,18.12
2011-03-31,8.9,$0.28,31.64
2010-12-31,9.71,$0.41,23.74
2010-09-30,6.27,$0.38,16.34
2010-06-30,6.32,$0.38,16.61
2010-03-31,8.02,$0.26,30.48
2009-12-31,8.17,$0.48,17.0
