Eton Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Eton Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Eton Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Eton Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.78,,406.04
2024-12-31,13.32,$0.04,365.93
2024-09-30,6.0,$0.08,74.44
2024-06-30,3.29,$0.00,0.0
2024-03-31,3.75,$0.23,16.32
2023-12-31,4.38,$0.27,16.48
2023-09-30,4.17,$0.36,11.49
2023-06-30,3.49,$0.26,13.51
2023-03-31,3.85,$0.08,47.01
2022-12-31,2.82,$0.19,14.83
2022-09-30,2.1,$-0.13,0.0
2022-06-30,2.62,$-0.17,0.0
2022-03-31,4.36,$-0.25,0.0
2021-12-31,4.29,$-0.16,0.0
2021-09-30,5.04,$-0.30,0.0
2021-06-30,6.16,$-0.43,0.0
2021-03-31,7.32,$-0.53,0.0
2020-12-31,8.13,$-1.07,0.0
2020-09-30,7.9,$-0.94,0.0
2020-06-30,5.45,$-0.88,0.0
2020-03-31,4.1,$-1.07,0.0
2019-12-31,7.2,$-1.08,0.0
2019-09-30,6.32,$-2.16,0.0
